key	text	tooltip
#Loc;1;text/idrinth__tr.loc.tsv/idrinth__tr.loc		
effect_bundles_localised_description_idrinth_dilemma_empire_FIRST	Araştırmacı eski savaşlarla çok ilgileniyordu. Idrinth ile yapılan tartışma, onu şimdi de işe yarar taktikler keşfetmeye yönlendirdi.	false
effect_bundles_localised_description_idrinth_dilemma_empire_SECOND	Araştırmacı ve Idrinth büyüyü tartıştı, büyücülerinizin uygulayabileceği bazı küçük iyileştirmeler buldu.	false
effect_bundles_localised_description_idrinth_dilemma_empire_THIRD	Araştırmacıya Idrinth hakkında sordunuz, onun kaosa karşı uzun savaşını öğrendiniz.	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_FIRST	Ulağı kovdunuz, Idrinth'in hayatını kolaylaştırdınız.	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_SECOND	Idrinth'i geçmişi hakkında sorguladınız, onu daha karamsar bir ruh haline bıraktınız.	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_THIRD	Idrinth eski halkından gelen ulakla buluştu, ailesinin mevcut hedeflerini öğrendi. Şimdi daha neşeli görünüyor.	false
effect_bundles_localised_description_idrinth_dilemma_kislev_FIRST	Davetsiz misafiri sorgulanmak üzere Idrinth'e teslim ettiniz.	false
effect_bundles_localised_description_idrinth_dilemma_kislev_SECOND	Davetsiz misafiri öldürdünüz, anavatanı kızdırdınız ama daha kötüsünü önlediniz.	false
effect_bundles_localised_description_idrinth_dilemma_kislev_THIRD	Davetsiz misafir size katıldı, Idrinth'i derinden rahatsız etti.	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_FIRST	Idrinth'i hizmetkarı öldürmek ve kanını emmekle suçladınız. Masumiyetini kanıtlamaya çalışıyor.	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_SECOND	Idrinth'e parşömen hakkında sordunuz, bazı kadim büyü teorilerini öğrendiniz.	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_THIRD	Katili başka yerde aramaya karar verdiniz ve birlikleriniz artık daha tetikte.	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_FIRST	Idrinth ve korucu buluştu ve onun köyüne yaptıkları yüzünden kavga ettiler.	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_SECOND	Korucu gidene kadar Idrinth'i sakladınız. Minnettar olsa da ruh hali karardı.	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_THIRD	Idrinth'i korucu hakkında sorguladınız, onu geçmişi ve şimdiki hali üzerine düşünmeye sevk ettiniz.	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_FIRST	Cücelere elf hakkında sordunuz, Idrinth'ten daha çok şüphelenmenize yol açtı. O da geçmişini araştırmaya çalışan sizden daha az rahat.	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_SECOND	Vampir Savaşları hakkında bilgi alışverişinde bulundunuz, ilk elden bilgiler paylaşıldı.	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_THIRD	Idrinth'i cücelere tanıttınız. Beklediğiniz gibi gitmedi, dönüştüğü canavara saldırmaya çalıştılar.	false
effect_bundles_localised_title_idrinth_dilemma_empire_FIRST	Geçmiş savaşları tartıştı	false
effect_bundles_localised_title_idrinth_dilemma_empire_SECOND	Büyüyü tartıştı	false
effect_bundles_localised_title_idrinth_dilemma_empire_THIRD	Ona Idrinth hakkında sordu	false
effect_bundles_localised_title_idrinth_dilemma_high_elves_FIRST	Ulak kovuldu	false
effect_bundles_localised_title_idrinth_dilemma_high_elves_SECOND	Idrinth sorgulandı	false
effect_bundles_localised_title_idrinth_dilemma_high_elves_THIRD	Ulakla buluşuldu	false
effect_bundles_localised_title_idrinth_dilemma_kislev_FIRST	Davetsiz misafir Idrinth'e teslim edildi	false
effect_bundles_localised_title_idrinth_dilemma_kislev_SECOND	Davetsiz misafir öldürüldü	false
effect_bundles_localised_title_idrinth_dilemma_kislev_THIRD	Davetsiz misafirin katılmasına izin verildi	false
effect_bundles_localised_title_idrinth_dilemma_vampire_counts_FIRST	Idrinth suçlandı	false
effect_bundles_localised_title_idrinth_dilemma_vampire_counts_SECOND	Parşömen hakkında soruldu	false
effect_bundles_localised_title_idrinth_dilemma_vampire_counts_THIRD	Katil başka yerde arandı	false
effect_bundles_localised_title_idrinth_dilemma_wood_elves_FIRST	Korucuyla buluşuldu	false
effect_bundles_localised_title_idrinth_dilemma_wood_elves_SECOND	Idrinth saklandı	false
effect_bundles_localised_title_idrinth_dilemma_wood_elves_THIRD	Idrinth sorgulandı	false
effect_bundles_localised_title_idrinth_dilemma_dwarves_FIRST	Cücelere elf hakkında soruldu	false
effect_bundles_localised_title_idrinth_dilemma_dwarves_SECOND	Idrinth'e Vampir Savaşları hakkında yaklaşıldı	false
effect_bundles_localised_title_idrinth_dilemma_dwarves_THIRD	Idrinth cücelere tanıtıldı	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_asuryan_large	Asuryan'ın Büyük Koruması	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_kurnous_large	Kurnous'un İlahi Rehberliği	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_khaine_large	Khaine'in Kan Dalgası	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_asuryan_medium	Asuryan'ın Koruması	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_kurnous_medium	Kurnous'un Rehberliği	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_khaine_medium	Khaine'in Kan Sunusu	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_asuryan_small	Asuryan'ın Küçük Koruması	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_kurnous_small	Kurnous'un Hafif Rehberliği	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_khaine_small	Khaine'in Kan Damlası	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_asuryan_large	Savaşçılarınız sadece darbeleri savuşturmada ve saldırılardan kıl payı kurtulmada ustalaşmakla kalmıyor, yaraları da normalden çok daha hızlı iyileşiyor.	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_kurnous_large	Doğal avcılar olarak savaşçılarınız yiyecek ve düşman avlarken hızlı ve görünmez hareket ediyor.	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_khaine_large	Birlikleriniz ve yeni gönüllüler savaşın coşkusunu yaşıyor, onları düşmanları için daha tehlikeli kılıyor.	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_asuryan_medium	Savaşçılarınız aniden darbeleri savuşturmada ve saldırılardan kıl payı kurtulmada ustalaştı.	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_kurnous_medium	Savaşçılarınız yiyecek ve düşman avlarken doğal olarak gizli hareket ediyor.	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_khaine_medium	Savaşçılarınız içlerinde bir savaş açlığı hissediyor, hem kıdemlileri hem de yeni acemileri düşmanları için daha tehlikeli kılıyor.	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_asuryan_small	Savaşçılarınız darbeleri ve büyüleri savuşturmada biraz şans yaşıyor, güvenilecek kadar olmasa da.	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_kurnous_small	Avlarda az miktarda rehberlik ve şans birliklerinize fayda sağlıyor.	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_khaine_small	Khaine'in yumruğundan küçük bir kan damlası birliklerinize katılmak için daha fazla gönüllü sağlıyor.	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_asuryan_large_cost		false
effect_bundles_localised_description_idrinth_dilemma_god_favour_kurnous_large_cost		false
effect_bundles_localised_description_idrinth_dilemma_god_favour_khaine_large_cost		false
