key	text	tooltip
#Loc;1;text/db/idrinth_building_short_description_texts__.loc		
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_0	A chapel for a community of rogues, exiles and adventurers of elvenkind. These elves follow the footsteps of Idrinth as an example of how to live their lives.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_asuryan	A chapel for a community of rogues, exiles and adventurers of elvenkind. These elves follow the footsteps of Idrinth as an example of how to live their lives in Asuryan's name.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_kurnous	A chapel for a community of rogues, exiles and adventurers of elvenkind. These elves follow the footsteps of Idrinth as an example of how to live their lives in Kurnous's name.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_khaine	A chapel for a community of rogues, exiles and adventurers of elvenkind. These elves follow the footsteps of Idrinth as an example of how to live their lives in Khaine's name.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_asuryan	A grand chapel for a community of rogues, exiles and adventurers of elvenkind. These elves follow the footsteps of Idrinth as an example of how to live their lives in Asuryan's name.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_kurnous	A grand chapel for a community of rogues, exiles and adventurers of elvenkind. These elves follow the footsteps of Idrinth as an example of how to live their lives in Kurnous's name.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_khaine	A grand chapel for a community of rogues, exiles and adventurers of elvenkind. These elves follow the footsteps of Idrinth as an example of how to live their lives in Khaine's name.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_0_beasts	A small hut of veterinarians helping animals of both human neighbours and the wild.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_beasts	A house of veterinarians helping animals of both human neighbours and the wild.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_beasts	A large complex of veterinarians helping animals of both human neighbours and the wild.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	A small elven outreach, allowing for more direct communication with all elven realms.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	An elven outreach, allowing for more direct communication with all elven realms.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_altar	A building crafting both normal altars as well as war altars for the chapels.	false
