key	text	tooltip
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_0	A chapel for a community of rogues, exiles and adventurers of elvenkind. These elves follow the footsteps of Idrinth as an example of how to live their lives.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_asuryan	A chapel for a community of rogues, exiles and adventurers of elvenkind. These elves follow the footsteps of Idrinth as an example of how to live their lives in Asuryan's name.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_kurnous	A chapel for a community of rogues, exiles and adventurers of elvenkind. These elves follow the footsteps of Idrinth as an example of how to live their lives in Kurnous's name.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_khaine	A chapel for a community of rogues, exiles and adventurers of elvenkind. These elves follow the footsteps of Idrinth as an example of how to live their lives in Khaine's name.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_asuryan	A grand chapel for a community of rogues, exiles and adventurers of elvenkind. These elves follow the footsteps of Idrinth as an example of how to live their lives in Asuryan's name.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_kurnous	A grand chapel for a community of rogues, exiles and adventurers of elvenkind. These elves follow the footsteps of Idrinth as an example of how to live their lives in Kurnous's name.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_khaine	A grand chapel for a community of rogues, exiles and adventurers of elvenkind. These elves follow the footsteps of Idrinth as an example of how to live their lives in Khaine's name.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_0_beasts	A small hut of veterinarians helping animals of both human neighbours and the wild.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_beasts	A house of veterinarians helping animals of both human neighbours and the wild.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_beasts	A large complex of veterinarians helping animals of both human neighbours and the wild.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	A small elven outreach, allowing for more direct communication with all elven realms.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	An elven outreach, allowing for more direct communication with all elven realms.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_altar	A building crafting both normal altars as well as war altars for the chapels.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_0	A small camp of Thaluian Chapel forces and their allies, held together by Idrinth's own presence.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_0	A single wagon inhabited by a trained healer who can help against basic ailments.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_0	A quartermaster organising weapon and armor procurment as well as payment of salaries.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_0	A single wagon of a common goods trader, who sees benefits in following an army.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_1	A camp of Thaluian Chapel forces and their allies, held together by their hate of chaos and Idrinth's own presence.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_1	A group of wagons of a master healer and their apprentices, able to deal with most ailments.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_1	A small council of camp functionaries helping to organise the camp both in civilian and military matters.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_1	Multiple wagons of merchants, who help finance the army as well as make a nice profit on the side themselves.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_2	A large camp of Thaluian Chapel forces and their allies, held together by their hate of chaos, opportunism and Idrinth's own presence.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_2	A group of wagons containing multiple master healers who train students together and heal those in need.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_2	A council of the camp's functionaries led by Idrinth that rules the camp through officials and judgements.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_2	An organised guild of merchants, that use the camp as their home base, bringing elven goods to a wide variety of people and benefitting financially.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_artisan_quarters_1	A small worshop producing elven crafts, allowing the chapel to generate trade and income.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_artisan_quarters_2	A large worshop producing elven crafts and magic items, allowing the chapel to generate trade and income.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_tavern_0	A small tavern, that allows both chapel forces as well as allies to rest from long days.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_tavern_1	A tavern, that allows both chapel forces as well as allies to rest from long days.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_tavern_2	A large tavern, that allows both chapel forces as well as allies to rest from long days.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_library_2	A library collecting elven knowledge and researching more.	false
