key	text	tooltip
#Loc;1;text/idrinth_ancillaries__.cn.loc.tsv/idrinth_ancillaries__.cn.loc		
ancillaries_colour_text_idrinth_anc_talisman_stone_of_dried_blood	一枚受血手神凯恩祝福的护符。很少有人获得足够的恩宠，能以他的名义挥舞这样的工具。干涸的鲜血脉动着古老的力量，向佩戴者低语暴力的承诺。	false
ancillaries_explanation_text_idrinth_anc_talisman_stone_of_dried_blood	久经战阵的经验。	false
ancillaries_onscreen_name_idrinth_anc_talisman_stone_of_dried_blood	干血护符	false
ancillaries_colour_text_idrinth_anc_talisman_talisman_of_souls	一枚受阿苏里安祝福的护符，用于保存前代的知识。在寂静时，你能听到古代精灵贤者从帷幕之外传来的智慧低语。	false
ancillaries_explanation_text_idrinth_anc_talisman_talisman_of_souls	久经战阵的经验。	false
ancillaries_onscreen_name_idrinth_anc_talisman_talisman_of_souls	灵魂护符	false
ancillaries_colour_text_idrinth_anc_talisman_forest_berry_wine	一种受库尔诺斯祝福的护符，赐予持有者世界上最好的浆果酒。一口便能让饮者与荒野相连，使感官敏锐、反应迅速，仿佛森林本身在引导每一个动作。	false
ancillaries_explanation_text_idrinth_anc_talisman_forest_berry_wine	久经战阵的经验。	false
ancillaries_onscreen_name_idrinth_anc_talisman_forest_berry_wine	森林浆果酒	false
ancillaries_colour_text_idrinth_anc_weapon_kurnous_blessed_hunting_bow	一件受库尔诺斯祝福的武器，使其挥舞者成为世界上首屈一指的猎人。被其箭矢标记的人会感到原始的恐惧，仿佛被自然本身而非仅仅是弓箭手所追猎。	false
ancillaries_explanation_text_idrinth_anc_weapon_kurnous_blessed_hunting_bow	久经战阵的经验。	false
ancillaries_onscreen_name_idrinth_anc_weapon_kurnous_blessed_hunting_bow	祝福的猎弓	false
ancillaries_colour_text_idrinth_anc_armour_khaines_visage	这顶头盔展示出一副混合着恐惧、嗜血和纯粹暴力欲望的面具。这副面容改变了佩戴者，唤醒一种敌人远远就能感知到的原始狂怒。	false
ancillaries_explanation_text_idrinth_anc_armour_khaines_visage	久经战阵的经验。	false
ancillaries_onscreen_name_idrinth_anc_armour_khaines_visage	凯恩的面容	false
ancillaries_colour_text_idrinth_anc_weapon_khaines_thirsting_sword	一把与其主人一样渴望鲜血的剑。每一击都让它更加饥渴，每夺取一条生命就变得更强。当沾染鲜血时，剑刃永不钝化。	false
ancillaries_explanation_text_idrinth_anc_weapon_khaines_thirsting_sword	久经战阵的经验。	false
ancillaries_onscreen_name_idrinth_anc_weapon_khaines_thirsting_sword	凯恩的渴血之剑	false
ancillaries_colour_text_idrinth_anc_weapon_asuryans_perfection_sword	一把如其挥舞者所追求的那样完美的剑。在阿苏里安的永恒之火中锻造，这把高等精灵风格的剑为战斗带来和谐，让主人以无与伦比的精准和耐力战斗。	false
ancillaries_explanation_text_idrinth_anc_weapon_asuryans_perfection_sword	久经战阵的经验。	false
ancillaries_onscreen_name_idrinth_anc_weapon_asuryans_perfection_sword	阿苏里安的完美之剑	false
ancillaries_colour_text_idrinth_anc_armour_kurnous_forest_cloak	一件库尔诺斯设计的护甲，轻盈且几乎不可察觉。这件深绿色斗篷承载着深林的精髓，在隐蔽佩戴者的同时提高对周围环境的感知。	false
ancillaries_explanation_text_idrinth_anc_armour_kurnous_forest_cloak	久经战阵的经验。	false
ancillaries_onscreen_name_idrinth_anc_armour_kurnous_forest_cloak	库尔诺斯的森林斗篷	false
ancillaries_colour_text_idrinth_anc_armour_asuryans_destiny	这套护甲在佩戴者服务精灵族时保护他们，将其寿命延长到超乎预期的程度。编织在每块甲板中的附魔排斥亡灵的腐化，让佩戴者能够行走于两个世界。	false
ancillaries_explanation_text_idrinth_anc_armour_asuryans_destiny	久经战阵的经验。	false
ancillaries_onscreen_name_idrinth_anc_armour_asuryans_destiny	阿苏里安的命运护甲	false
