key	text	tooltip
#Loc;1;text/.cz/idrinth_unit_description_historical_texts__.cz.loc		
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_idrinth	Čepele mávané s elfí elegancí a upíří mocí, luky střílející s elfí přesností a upíří silou. Tato stvoření přinášejí strach do většiny srdcí.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan	Tito zoufalí vyhnanci, dobrodruzi a žoldnéři chrání svatyni Asuryana.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous	Tito zoufalí vyhnanci, dobrodruzi a žoldnéři chrání svatyni Kurnouse.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine	Tito zoufalí vyhnanci, dobrodruzi a žoldnéři chrání svatyni Khaina.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_mixed	Tito zoufalí vyhnanci, dobrodruzi a žoldnéři chrání kapli svých bohů.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	Tito bývalí vyhnanci, dobrodruzi a žoldnéři chrání svatyni Asuryana.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	Tito bývalí vyhnanci, dobrodruzi a žoldnéři chrání svatyni Kurnouse.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_leader	Tito bývalí vyhnanci, dobrodruzi a žoldnéři chrání svatyni Khaina.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_shrine	Tato provizorní oživená svatyně Asuryana, Kurnouse a Khaina chrání a pomáhá obráncům stát pevně.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_stone_wolves	Tyto kamenné bestie kombinují elfí umění s ničivými kouzly, činíc je jedněmi z nejlepších úderových jednotek dostupných Thaluiánským kaplím.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_outriders	Tito hrdí muži a ženy vyjíždějí zajistit cesty a boky, používajíc lektvary ke zvýšení přežití a šancí.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	Tito bývalí vyhnanci, dobrodruzi a žoldnéři chrání svatyni Asuryana navzdory jejich upířství.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	Tito bývalí vyhnanci, dobrodruzi a žoldnéři chrání svatyni Kurnouse navzdory jejich upířství.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	Tito bývalí vyhnanci, dobrodruzi a žoldnéři chrání svatyni Khaina navzdory jejich upířství.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	Tito zklamaní upíři byli dříve kněžími Khaina.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	Tito zklamaní upíři byli dříve kněžími Kurnouse.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	Tito zklamaní upíři byli dříve kněžími Asuryana.	false
