key	text	tooltip
#Loc;1;text/idrinth__br.loc.tsv/idrinth__br.loc		
effects_description_idrinth_effect_agent_action_assist_army_training	Ação [[col:yellow]]{{tr:agent_action_name_training}}[[/col]]: O ganho de experiência da unidade é aumentado em %+n% adicional	false
effects_description_idrinth_effect_agent_action_enable_hinder_army_assault_units	Ação [[col:yellow]]{{tr:agent_action_name_assault_units}}[[/col]]: %+n% adicional de baixas infligidas	false
effects_description_idrinth_effect_agent_action_enable_hinder_agent_assassinate	Ação [[col:yellow]]{{tr:agent_action_name_assassinate}}[[/col]]: %+n% adicional de chance de sucesso	false
effects_description_idrinth_effect_agent_action_enable_passive_spread_corruption_vmp	Ação [[col:yellow]]{{tr:agent_action_name_spread_corruption}}[[/col]]: A corrupção vampírica é aumentada em %+n adicional	false
effects_description_idrinth_pooled_resource_khaine	Gera %+n Favor de Khaine.	false
effects_description_idrinth_pooled_resource_kurnous	Gera %+n Favor de Kurnous.	false
effects_description_idrinth_pooled_resource_asuryan	Gera %+n Favor de Asuryan.	false
effects_description_idrinth_effect_upkeep_idrinth	Manutenção aumentada em %+n% para Idrinth.	false
effects_description_idrinth_initiative_khaine	Seguir o caminho de Khaine, o guerreiro, permite que você massacre seus inimigos.	false
effects_description_idrinth_initiative_kurnous	Seguir o caminho de Kurnous, o caçador, torna você um caçador melhor.	false
effects_description_idrinth_initiative_asuryan	Seguir o caminho de Asuryan, o protetor, protege você.	false
effects_description_idrinth_chapel_khaine_charge	Khaine fortalece sua determinação e torna Idrinth e as guarnições da capela %+n% tropas de choque.	false
effects_description_idrinth_chapel_kurnous_range	Kurnous fortalece seu arco e permite que Idrinth e as guarnições da capela disparem %+n% mais longe.	false
effects_description_idrinth_chapel_asuryan_ward_save	Asuryan fortalece sua mente, protegendo Idrinth e as guarnições da capela de %+n dano com uma barreira.	false
effects_description_idrinth_loremaster_lore_of_vampires	Reduz custo, recarga e chance de erro em %+n% para feitiços do saber dos vampiros.	false
effects_description_idrinth_loremaster_lore_of_vampires_2	Aumenta o alcance em %+n% para feitiços do saber dos vampiros.	false
effects_description_idrinth_loremaster_lore_of_shadows	Reduz custo, recarga e chance de erro em %+n% para feitiços do saber das sombras.	false
effects_description_idrinth_loremaster_lore_of_shadows_2	Aumenta o alcance em %+n% para feitiços do saber das sombras.	false
effects_description_idrinth_loremaster_lore_of_death	Reduz custo, recarga e chance de erro em %+n% para feitiços do saber da morte.	false
effects_description_idrinth_loremaster_lore_of_death_2	Aumenta o alcance em %+n% para feitiços do saber da morte.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_weapon_strength	Força de arma %+n% para sacerdotes.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_vigour_loss_reduction	Perda de vigor %+n% para sacerdotes.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_speed	Velocidade %+n% para sacerdotes.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_range	Alcance %+n% para sacerdotes.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_melee_defence	Defesa Corpo a Corpo %+n para sacerdotes.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_melee_attack_pct	Ataque Corpo a Corpo %+n para sacerdotes.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_fire_resistance	Vulnerabilidade ao fogo %+n% para sacerdotes.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_charge_bonus_pct	Bônus de Carga %+n% para sacerdotes.	false
effects_description_idrinth_priests_wh_main_effect_force_all_campaign_replenishment_rate	Reposição %+n% para sacerdotes.	false
effects_description_idrinth_priests_wh_main_effect_character_stat_physical_resistance	Resistência Física %+n% para sacerdotes.	false
effects_description_idrinth_priests_wh_main_effect_character_stat_missile_resistance	Resistência a Mísseis %+n% para sacerdotes.	false
