key	text	tooltip
#Loc;1;text/idrinth__ru.loc.tsv/idrinth__ru.loc		
effects_description_idrinth_effect_agent_action_assist_army_training	[[col:yellow]]{{tr:agent_action_name_training}}[[/col]] действие: Получение опыта отрядами увеличивается дополнительно на %+n%	false
effects_description_idrinth_effect_agent_action_enable_hinder_army_assault_units	[[col:yellow]]{{tr:agent_action_name_assault_units}}[[/col]] действие: Дополнительно %+n% нанесённых потерь	false
effects_description_idrinth_effect_agent_action_enable_hinder_agent_assassinate	[[col:yellow]]{{tr:agent_action_name_assassinate}}[[/col]] действие: Дополнительно %+n% шанс успеха	false
effects_description_idrinth_effect_agent_action_enable_passive_spread_corruption_vmp	[[col:yellow]]{{tr:agent_action_name_spread_corruption}}[[/col]] действие: Вампирская порча увеличивается дополнительно на %+n	false
effects_description_idrinth_pooled_resource_khaine	Генерирует %+n Благосклонности Кхейна.	false
effects_description_idrinth_pooled_resource_kurnous	Генерирует %+n Благосклонности Курноуса.	false
effects_description_idrinth_pooled_resource_asuryan	Генерирует %+n Благосклонности Асуриана.	false
effects_description_idrinth_effect_upkeep_idrinth	Содержание увеличено на %+n% для Идринта.	false
effects_description_idrinth_initiative_khaine	Следование пути Кхейна, воина, позволяет вам истреблять врагов.	false
effects_description_idrinth_initiative_kurnous	Следование пути Курноуса, охотника, делает вас лучшим охотником.	false
effects_description_idrinth_initiative_asuryan	Следование пути Асуриана, защитника, защищает вас.	false
effects_description_idrinth_chapel_khaine_charge	Кхейн укрепляет вашу решимость и делает Идринта и гарнизоны капелл на %+n% ударными войсками.	false
effects_description_idrinth_chapel_kurnous_range	Курноус укрепляет ваш лук и позволяет Идринту и гарнизонам капелл стрелять на %+n% дальше.	false
effects_description_idrinth_chapel_asuryan_ward_save	Асуриан укрепляет ваш разум, защищая Идринта и гарнизоны капелл от %+n урона барьером.	false
effects_description_idrinth_loremaster_lore_of_vampires	Снижает стоимость, перезарядку и шанс неудачи на %+n% для заклинаний школы вампиров.	false
effects_description_idrinth_loremaster_lore_of_vampires_2	Increases range  by %+n% for lore of vampires spells.	false
effects_description_idrinth_loremaster_lore_of_shadows	Снижает стоимость, перезарядку и шанс неудачи на %+n% для заклинаний школы теней.	false
effects_description_idrinth_loremaster_lore_of_shadows_2	Increases range  by %+n% for lore of shadows spells.	false
effects_description_idrinth_loremaster_lore_of_death	Снижает стоимость, перезарядку и шанс неудачи на %+n% для заклинаний школы смерти.	false
effects_description_idrinth_loremaster_lore_of_death_2	Increases range by %+n% for lore of death spells.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_weapon_strength	Сила оружия %+n% для жрецов.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_vigour_loss_reduction	Потеря бодрости %+n% для жрецов.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_speed	Скорость %+n% для жрецов.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_range	Дальность %+n% для жрецов.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_melee_defence	Защита в ближнем бою %+n для жрецов.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_melee_attack_pct	Атака в ближнем бою %+n для жрецов.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_fire_resistance	Уязвимость к огню %+n% для жрецов.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_charge_bonus_pct	Бонус атаки %+n% для жрецов.	false
effects_description_idrinth_priests_wh_main_effect_force_all_campaign_replenishment_rate	Восполнение %+n% для жрецов.	false
effects_description_idrinth_priests_wh_main_effect_character_stat_physical_resistance	Физическое сопротивление %+n% для жрецов.	false
effects_description_idrinth_priests_wh_main_effect_character_stat_missile_resistance	Сопротивление снарядам %+n% для жрецов.	false
effects_description_idrinth_priests_wh_main_effect_character_stat_missile_damage	Урон снарядами %+n% для жрецов.	false
effects_description_idrinth_priests_wh_main_effect_attribute_enable_causes_fear	Жрецы вызывают страх.	false
effects_description_idrinth_priests_wh_main_effect_ability_enable_the_hunger	Жрецы обладают вампирским голодом.	false
effects_description_idrinth_priests_wh_main_effect_ability_enable_invocation_of_nehek	Жрецы знают Призыв Нехека.	false
effects_description_idrinth_priests_wh2_dlc16_effect_unit_enable_attribute_undead	Жрецы являются нежитью.	false
