key	text	tooltip
#Loc;1;text/idrinth_missions__.kr.loc.tsv/idrinth_missions__.kr.loc		
missions_localised_description_idrinth_unlock_wh2_main_hef_high_elves	소문에 따르면 혼돈의 세력과 싸우면 강력한 도움의 관심을 끌 수 있다고 합니다. 낯선 자가 당신이 싸우고 피 흘릴 의지를 증명하면 당신 편에서 싸울 의향이 있다고 합니다...	false
missions_localised_title_idrinth_unlock_wh2_main_hef_high_elves	혼돈에 맞선 낯선 자	false
missions_localised_title_idrinth_unlock_wh_main_vmp_vampire_counts	혼돈에 맞선 낯선 자	false
missions_localised_title_idrinth_unlock_wh_main_emp_empire	혼돈에 맞선 낯선 자	false
missions_localised_title_idrinth_unlock_wh_dlc05_wef_wood_elves	혼돈에 맞선 낯선 자	false
missions_localised_title_idrinth_unlock_wh3_main_ksl_kislev	혼돈에 맞선 낯선 자	false
missions_localised_description_idrinth_unlock_wh_main_vmp_vampire_counts	소문에 따르면 혼돈의 세력과 싸우면 강력한 도움의 관심을 끌 수 있다고 합니다. 낯선 자가 당신이 싸우고 피 흘릴 의지를 증명하면 당신 편에서 싸울 의향이 있다고 합니다...	false
missions_localised_description_idrinth_unlock_wh_main_emp_empire	소문에 따르면 혼돈의 세력과 싸우면 강력한 도움의 관심을 끌 수 있다고 합니다. 낯선 자가 당신이 싸우고 피 흘릴 의지를 증명하면 당신 편에서 싸울 의향이 있다고 합니다...	false
missions_localised_description_idrinth_unlock_wh_dlc05_wef_wood_elves	소문에 따르면 혼돈의 세력과 싸우면 강력한 도움의 관심을 끌 수 있다고 합니다. 낯선 자가 당신이 싸우고 피 흘릴 의지를 증명하면 당신 편에서 싸울 의향이 있다고 합니다...	false
missions_localised_description_idrinth_unlock_wh3_main_ksl_kislev	소문에 따르면 혼돈의 세력과 싸우면 강력한 도움의 관심을 끌 수 있다고 합니다. 낯선 자가 당신이 싸우고 피 흘릴 의지를 증명하면 당신 편에서 싸울 의향이 있다고 합니다...	false
missions_localised_mission_completed_text_idrinth_unlock_wh2_main_hef_high_elves	당신의 금화를 받은 후 낯선 자는 자신을 이드린스라는 아수르 동포로 소개합니다. 여행 로브를 벗으니 전투로 닳은 로어마스터의 갑옷, 어울리는 대검, 그리고 아직 저지르지 않은 잔혹함을 암시하는 무표정한 눈 근처에 금속 활이 보입니다.	false
missions_localised_mission_completed_text_idrinth_unlock_wh_main_vmp_vampire_counts	낯선 자가 후드를 내리며 엘프 특징을 드러냅니다. 저는 파괴의 친구가 아니지만, 적들이 제 손을 강제했습니다. 금화를 주머니에 넣으며 말합니다, 수년 만에 위험에 처했을 때 가족에게 돌아가는 것은 옳은 일입니다, 그 가족이 누구든. 동의하지 않습니까?	false
missions_localised_mission_completed_text_idrinth_unlock_wh_main_emp_empire	저는 울릭이나 시그마를 믿는 전사들과 함께 싸우고 피를 흘렸습니다. 우리는 같은 적을 가지고 있습니다, 라고 그가 여행 로브를 벗으며 말합니다, 그리고 당신들과 함께 그들을 물리치기를 기대합니다. 세상의 발전을 위해 제 지식을 공유합니다. 그의 눈은 기도하는 인간들을 차갑게 바라보다가 장군과 그의 경호원에게 다시 주의를 돌립니다.	false
missions_localised_mission_completed_text_idrinth_unlock_wh_dlc05_wef_wood_elves	숲의 사냥꾼들과 함께 싸우게 되어 기대됩니다, 사촌, 이라고 아수르가 친근한 어조로 말하며 보수와 여행 망토를 챙깁니다. 당신들만큼 훌륭한 사수는 아니지만, 발목을 잡지는 않을 것입니다. 약간 재미있어하는 미소가 그의 피 없는 입술 주위에 잠시 나타났다가 사라집니다. 수 세기 후에도 이야기될 사냥을 합시다!	false
missions_localised_mission_completed_text_idrinth_unlock_wh3_main_ksl_kislev	낯선 자가 돈을 받은 후 옷을 벗고 여행 로브 아래에서 엘프 얼굴과 엘프 무기를 드러냅니다. 제 이름은 이드린스이며, 당신들 대부분이 살아온 것보다 더 오래 우리의 적들과 싸워왔습니다. 군대와 함께 훈련하고 그들을 가르치고 싶습니다. 약간의 미소가 그의 피 없는 입술 주위에 잠시 나타났다가 늙지 않는 얼굴에서 사라집니다.	false
missions_localised_title_idrinth_unlock_wh2_main_def_dark_elves	혼돈에 맞선 낯선 자	false
missions_localised_title_idrinth_unlock_mixer_nag_nagash	혼돈에 맞선 낯선 자	false
missions_localised_title_idrinth_unlock_wh2_dlc11_cst_vampire_coast	혼돈에 맞선 낯선 자	false
missions_localised_title_idrinth_unlock_wh_main_brt_bretonnia	혼돈에 맞선 낯선 자	false
missions_localised_title_idrinth_unlock_wh3_main_cth_cathay	혼돈에 맞선 낯선 자	false
missions_localised_description_idrinth_unlock_wh2_main_def_dark_elves	소문에 따르면 혼돈의 세력과 싸우면 강력한 도움의 관심을 끌 수 있다고 합니다. 낯선 자가 당신이 싸우고 피 흘릴 의지를 증명하면 당신 편에서 싸울 의향이 있다고 합니다...	false
missions_localised_description_idrinth_unlock_mixer_nag_nagash	소문에 따르면 혼돈의 세력과 싸우면 강력한 도움의 관심을 끌 수 있다고 합니다. 낯선 자가 당신이 싸우고 피 흘릴 의지를 증명하면 당신 편에서 싸울 의향이 있다고 합니다...	false
missions_localised_description_idrinth_unlock_wh2_dlc11_cst_vampire_coast	소문에 따르면 혼돈의 세력과 싸우면 강력한 도움의 관심을 끌 수 있다고 합니다. 낯선 자가 당신이 싸우고 피 흘릴 의지를 증명하면 당신 편에서 싸울 의향이 있다고 합니다...	false
missions_localised_description_idrinth_unlock_wh_main_brt_bretonnia	소문에 따르면 혼돈의 세력과 싸우면 강력한 도움의 관심을 끌 수 있다고 합니다. 낯선 자가 당신이 싸우고 피 흘릴 의지를 증명하면 당신 편에서 싸울 의향이 있다고 합니다...	false
missions_localised_description_idrinth_unlock_wh3_main_cth_cathay	소문에 따르면 혼돈의 세력과 싸우면 강력한 도움의 관심을 끌 수 있다고 합니다. 낯선 자가 당신이 싸우고 피 흘릴 의지를 증명하면 당신 편에서 싸울 의향이 있다고 합니다...	false
missions_localised_mission_completed_text_idrinth_unlock_wh2_main_def_dark_elves	낯선 자가 후드를 뒤로 젖히며, 틀림없이 아수르의 특징을 드러냅니다—하지만 그의 눈에는 그들의 전형적인 경멸이 없습니다. "사촌," 그가 말합니다, 조롱도 온기도 담지 않은 단어. "고대의 원한은 관심 없습니다. 혼돈은 드루치와 아수르를 똑같이 삼키고, 저는 생존이... 유연성을 요구한다는 것을 배웠습니다." 기쁨 없는 미소가 그의 피 없는 입술을 가로지릅니다. "당신은 대부분보다 실용주의를 이해합니다. 그것을 활용할까요?"	false
missions_localised_mission_completed_text_idrinth_unlock_mixer_nag_nagash	낯선 자의 후드가 벗겨지며, 시간에 손대지 않은 엘프 얼굴을 드러냅니다. "당신이 무엇을 섬기는지 압니다," 그가 단호하게 말합니다, 움츠러들지 않고 언데드의 시선을 마주합니다. "그리고 제가 무엇인지도 압니다. 우리는 그렇지 않은 척할 필요가 없습니다." 그가 익숙한 편안함으로 등에 있는 대검을 조정합니다. "나가쉬의 적들은 혼돈의 하수인들입니다. 지금으로서는, 목적의 정렬이 충분합니다." 그의 피 없는 입술이 어두운 재미에 가까운 것으로 비틀어집니다. "위대한 강령술사는 결국 모든 것을 수집합니다. 저는 단지 조건을 선택할 뿐입니다."	false
missions_localised_mission_completed_text_idrinth_unlock_wh2_dlc11_cst_vampire_coast	낯선 자가 소금으로 얼룩진 망토를 벗으며, 아래에 엘프 특징과 고대 갑옷을 드러냅니다. "이보다 더 어두운 바다를 항해했습니다," 그가 혐오 없이 비틀거리는 선원들을 바라보며 말합니다. "피는 피입니다, 육지에서 취하든 바다에서 취하든." 그가 보수 주머니를 꺼내 신중하게 무게를 잽니다. "당신은 사냥하고, 약탈하고, 생존합니다. 그것을 존중합니다." 알 것 같은 미소가 그의 창백한 얼굴을 가로지릅니다. "그리고 당신의 선장들은 이해한다고 생각합니다—불멸은 모든 것에 대한 관점을 바꿉니다."	false
