key	text	tooltip
#Loc;1;text/idrinth_building_short_description_texts__es.loc.tsv/idrinth_building_short_description_texts__es.loc		
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_0	Una capilla para una comunidad de pícaros, exiliados y aventureros de raza élfica. Estos elfos siguen los pasos de Idrinth como ejemplo de cómo vivir sus vidas.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_asuryan	Una capilla para una comunidad de pícaros, exiliados y aventureros de raza élfica. Estos elfos siguen los pasos de Idrinth como ejemplo de cómo vivir sus vidas en nombre de Asuryan.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_kurnous	Una capilla para una comunidad de pícaros, exiliados y aventureros de raza élfica. Estos elfos siguen los pasos de Idrinth como ejemplo de cómo vivir sus vidas en nombre de Kurnous.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_khaine	Una capilla para una comunidad de pícaros, exiliados y aventureros de raza élfica. Estos elfos siguen los pasos de Idrinth como ejemplo de cómo vivir sus vidas en nombre de Khaine.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_asuryan	Una gran capilla para una comunidad de pícaros, exiliados y aventureros de raza élfica. Estos elfos siguen los pasos de Idrinth como ejemplo de cómo vivir sus vidas en nombre de Asuryan.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_kurnous	Una gran capilla para una comunidad de pícaros, exiliados y aventureros de raza élfica. Estos elfos siguen los pasos de Idrinth como ejemplo de cómo vivir sus vidas en nombre de Kurnous.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_khaine	Una gran capilla para una comunidad de pícaros, exiliados y aventureros de raza élfica. Estos elfos siguen los pasos de Idrinth como ejemplo de cómo vivir sus vidas en nombre de Khaine.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_0_beasts	Una pequeña cabaña de veterinarios que ayudan a animales tanto de vecinos humanos como de la naturaleza salvaje.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_beasts	Una casa de veterinarios que ayudan a animales tanto de vecinos humanos como de la naturaleza salvaje.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_beasts	Un gran complejo de veterinarios que ayudan a animales tanto de vecinos humanos como de la naturaleza salvaje.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	Una pequeña extensión élfica, que permite una comunicación más directa con todos los reinos elfos.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	Una extensión élfica, que permite una comunicación más directa con todos los reinos elfos.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_altar	Un edificio que fabrica tanto altares normales como altares de guerra para las capillas.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_0	Un pequeño campamento de fuerzas de la Capilla Thaluiana y sus aliados, unidos por la propia presencia de Idrinth.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_0	Un único carromato habitado por un sanador entrenado que puede ayudar con dolencias básicas.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_0	Un intendente que organiza la adquisición de armas y armaduras, así como el pago de salarios.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_0	Un único carromato de un comerciante de bienes comunes, que ve beneficios en seguir a un ejército.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_1	Un campamento de fuerzas de la Capilla Thaluiana y sus aliados, unidos por su odio al caos y la propia presencia de Idrinth.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_1	Un grupo de carromatos de un sanador maestro y sus aprendices, capaces de tratar la mayoría de dolencias.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_1	Un pequeño consejo de funcionarios del campamento que ayuda a organizar el campamento tanto en asuntos civiles como militares.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_1	Múltiples carromatos de mercaderes, que ayudan a financiar el ejército además de obtener un buen beneficio para sí mismos.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_2	Un gran campamento de fuerzas de la Capilla Thaluiana y sus aliados, unidos por su odio al caos, el oportunismo y la propia presencia de Idrinth.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_2	Un grupo de carromatos que contienen múltiples sanadores maestros que entrenan estudiantes juntos y curan a los necesitados.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_2	Un consejo de funcionarios del campamento liderado por Idrinth que gobierna el campamento a través de oficiales y juicios.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_2	Un gremio organizado de mercaderes, que usan el campamento como su base de operaciones, llevando productos elfos a una amplia variedad de personas y beneficiándose económicamente.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_artisan_quarters_1	Un pequeño taller que produce artesanías élficas, permitiendo a la capilla generar comercio e ingresos.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_artisan_quarters_2	Un gran taller que produce artesanías élficas y objetos mágicos, permitiendo a la capilla generar comercio e ingresos.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_tavern_0	Una pequeña taberna, que permite tanto a las fuerzas de la capilla como a los aliados descansar de largos días.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_tavern_1	Una taberna, que permite tanto a las fuerzas de la capilla como a los aliados descansar de largos días.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_tavern_2	Una gran taberna, que permite tanto a las fuerzas de la capilla como a los aliados descansar de largos días.	false
