key	text	tooltip
#Loc;1;text/idrinth__es.loc.tsvdb/idrinth__es.loc		
effects_description_idrinth_effect_agent_action_assist_army_training	Acción [[col:yellow]]{{tr:agent_action_name_training}}[[/col]]: La ganancia de experiencia de la unidad aumenta en un %+n% adicional	false
effects_description_idrinth_effect_agent_action_enable_hinder_army_assault_units	Acción [[col:yellow]]{{tr:agent_action_name_assault_units}}[[/col]]: %+n% adicional de bajas infligidas	false
effects_description_idrinth_effect_agent_action_enable_hinder_agent_assassinate	Acción [[col:yellow]]{{tr:agent_action_name_assassinate}}[[/col]]: %+n% adicional de probabilidad de éxito	false
effects_description_idrinth_effect_agent_action_enable_passive_spread_corruption_vmp	Acción [[col:yellow]]{{tr:agent_action_name_spread_corruption}}[[/col]]: La corrupción vampírica aumenta en un %+n adicional	false
effects_description_idrinth_pooled_resource_khaine	Genera %+n Favor de Khaine.	false
effects_description_idrinth_pooled_resource_kurnous	Genera %+n Favor de Kurnous.	false
effects_description_idrinth_pooled_resource_asuryan	Genera %+n Favor de Asuryan.	false
effects_description_idrinth_effect_upkeep_idrinth	Mantenimiento aumentado en %+n% para Idrinth.	false
effects_description_idrinth_initiative_khaine	Seguir el camino de Khaine, el guerrero, te permite masacrar a tus enemigos.	false
effects_description_idrinth_initiative_kurnous	Seguir el camino de Kurnous, el cazador, te convierte en un mejor cazador.	false
effects_description_idrinth_initiative_asuryan	Seguir el camino de Asuryan, el protector, te protege.	false
effects_description_idrinth_chapel_khaine_charge	Khaine fortalece tu determinación y hace que Idrinth y las guarniciones de capilla sean %+n% tropas de choque.	false
effects_description_idrinth_chapel_kurnous_range	Kurnous fortalece tu arco y permite que Idrinth y las guarniciones de capilla disparen %+n% más lejos.	false
effects_description_idrinth_chapel_asuryan_ward_save	Asuryan fortalece tu mente, protegiendo a Idrinth y las guarniciones de capilla de %+n de daño con una barrera.	false
effects_description_idrinth_loremaster_lore_of_vampires	Reduce el costo, tiempo de recarga y probabilidad de error en %+n% para hechizos del saber de vampiros.	false
effects_description_idrinth_loremaster_lore_of_vampires_2	Increases range  by %+n% for lore of vampires spells.	false
effects_description_idrinth_loremaster_lore_of_shadows	Reduce el costo, tiempo de recarga y probabilidad de error en %+n% para hechizos del saber de sombras.	false
effects_description_idrinth_loremaster_lore_of_shadows_2	Increases range  by %+n% for lore of shadows spells.	false
effects_description_idrinth_loremaster_lore_of_death	Reduce el costo, tiempo de recarga y probabilidad de error en %+n% para hechizos del saber de muerte.	false
effects_description_idrinth_loremaster_lore_of_death_2	Increases range by %+n% for lore of death spells.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_weapon_strength	Fuerza de arma %+n% para sacerdotes.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_vigour_loss_reduction	Pérdida de vigor %+n% para sacerdotes.	false
