key	text	tooltip
#Loc;1;text/idrinth_unit_description_historical_texts__.fr.loc.tsv/idrinth_unit_description_historical_texts__.fr.loc		
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_idrinth	Des lames maniées avec l'élégance elfique et la puissance vampirique, des arcs tirés avec la précision elfique et la force vampirique. Ces créatures inspirent la peur dans la plupart des cœurs.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan	Ces exilés, aventuriers et mercenaires désespérés protègent un sanctuaire d'Asuryan.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous	Ces exilés, aventuriers et mercenaires désespérés protègent un sanctuaire de Kurnous.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine	Ces exilés, aventuriers et mercenaires désespérés protègent un sanctuaire de Khaine.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_mixed	Ces exilés, aventuriers et mercenaires désespérés protègent une chapelle dédiée à leurs dieux.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	Ces anciens exilés, aventuriers et mercenaires protègent un sanctuaire d'Asuryan.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	Ces anciens exilés, aventuriers et mercenaires protègent un sanctuaire de Kurnous.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_leader	Ces anciens exilés, aventuriers et mercenaires protègent un sanctuaire de Khaine.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_shrine	Ce sanctuaire improvisé et animé dédié à Asuryan, Kurnous et Khaine protège et aide les défenseurs à tenir bon.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_stone_wolves	Ces bêtes de pierre combinent l'art elfique avec des enchantements dévastateurs, en faisant l'une des meilleures troupes de choc disponibles pour les Chapelles Thaluiennes.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_outriders	Ces hommes et femmes fiers chevauchent pour sécuriser les routes et les flancs, utilisant des potions pour améliorer leur survie et leurs chances.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	Ces anciens exilés, aventuriers et mercenaires protègent un sanctuaire d'Asuryan malgré leur vampirisme.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	Ces anciens exilés, aventuriers et mercenaires protègent un sanctuaire de Kurnous malgré leur vampirisme.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	Ces anciens exilés, aventuriers et mercenaires protègent un sanctuaire de Khaine malgré leur vampirisme.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	Ces vampires ratés étaient autrefois des prêtres de Khaine.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	Ces vampires ratés étaient autrefois des prêtres de Kurnous.	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	Ces vampires ratés étaient autrefois des prêtres d'Asuryan.	false
