key	text	tooltip
#Loc;1;text/idrinth_building_sets__zh.loc.tsv/idrinth_building_sets__zh.loc		
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel	一群流亡者、冒險家和精靈族流浪者聚集在獻給他們神祇的教堂周圍。	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel	精靈社區教堂	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_beast	精靈獸醫所	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_diplomacy	精靈外交站	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_altar	精靈工匠坊	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_beast	精靈獸醫所	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_diplomacy	精靈外交站	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_altar	精靈工匠坊	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde	精靈營地	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_healer_wagon	精靈治療師	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_quartermaster	精靈軍需官	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_trader	精靈商人	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde	精靈營地	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_healer_wagon	精靈治療師	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_quartermaster	精靈軍需官	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_trader	精靈商人	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_artisan_quarters	精靈工匠區	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_tavern	精靈酒館	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_library	精靈圖書館	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_artisan_quarters	精靈工匠區	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_tavern	精靈酒館	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_library	精靈圖書館	false
