key	text	tooltip
#Loc;1;text/idrinth__de.loc.tsvdb/idrinth__de.loc		
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_idrinth	Mit elfischer Eleganz und vampirischer Macht geschwungene Klingen, mit elfischer Genauigkeit und vampirischer Kraft geschossene Bögen. Diese Kreaturen jagen den meisten Herzen Furcht ein.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan	Diese verzweifelten Verbannten, Abenteurer und Söldner beschützen einen Schrein des Asuryan.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous	Diese verzweifelten Verbannten, Abenteurer und Söldner beschützen einen Schrein des Kurnous.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine	Diese verzweifelten Verbannten, Abenteurer und Söldner beschützen einen Schrein des Khaine.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_mixed	Diese verzweifelten Verbannten, Abenteurer und Söldner beschützen eine Kapelle ihrer Götter.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	Diese einstigen Verbannten, Abenteurer und Söldner beschützen einen Schrein des Asuryan.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	Diese einstigen Verbannten, Abenteurer und Söldner beschützen einen Schrein des Kurnous.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_leader	Diese einstigen Verbannten, Abenteurer und Söldner beschützen einen Schrein des Khaine.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_shrine	Dieser behelfsmäßige, belebte Schrein zu Asuryan, Kurnous und Khaine beschützt und hilft den Verteidigern standhaft zu bleiben.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_stone_wolves	Diese aus Stein gefertigten Bestien verbinden elfische Kunstfertigkeit mit verheerenden Verzauberungen und machen sie zu einer der besten Stoßtruppen der Thaluischen Kapellen.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_outriders	Diese stolzen Männer und Frauen reiten aus, um Straßen und Flanken zu sichern, und nutzen Tränke, um ihre Überlebenschancen zu verbessern.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	Diese einstigen Verbannten, Abenteurer und Söldner beschützen trotz ihres Vampirismus einen Schrein des Asuryan.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	Diese einstigen Verbannten, Abenteurer und Söldner beschützen trotz ihres Vampirismus einen Schrein des Kurnous.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	Diese einstigen Verbannten, Abenteurer und Söldner beschützen trotz ihres Vampirismus einen Schrein des Khaine.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	Diese gescheiterten Vampire waren einst Priester des Khaine.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	Diese gescheiterten Vampire waren einst Priester des Kurnous.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	Diese gescheiterten Vampire waren einst Priester des Asuryan.	false
