key	text	tooltip
#Loc;1;text/.tr/idrinth_unit_description_short_texts__.tr.loc		
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_idrinth	Elf zarafeti ve vampirik güçle savrulan kılıçlar, elf isabetliliği ve vampirik güçle atılan oklar. Bu yaratıklar çoğu kalbe korku salar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan	Bu umutsuz sürgünler, maceracılar ve paralı askerler Asuryan'ın türbesini korurlar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous	Bu umutsuz sürgünler, maceracılar ve paralı askerler Kurnous'un türbesini korurlar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine	Bu umutsuz sürgünler, maceracılar ve paralı askerler Khaine'in türbesini korurlar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_mixed	Bu umutsuz sürgünler, maceracılar ve paralı askerler tanrılarının şapelini korurlar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	Bu eski sürgünler, maceracılar ve paralı askerler Asuryan'ın türbesini korurlar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	Bu eski sürgünler, maceracılar ve paralı askerler Kurnous'un türbesini korurlar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_leader	Bu eski sürgünler, maceracılar ve paralı askerler Khaine'in türbesini korurlar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_shrine	Asuryan, Kurnous ve Khaine'e adanmış bu derme çatma, canlandırılmış türbe savunucuları korur ve direnişte güçlü durmalarına yardımcı olur.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_stone_wolves	Bu taştan yapılmış canavarlar elf sanatçılığını yıkıcı büyülerle birleştirerek Thalui Şapellerinin en iyi şok birliklerinden biri haline gelir.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_outriders	Bu gururlu erkekler ve kadınlar yolları ve kanatları güvence altına almak için ileriye sürer, hayatta kalma şanslarını artırmak için iksirler kullanırlar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	Bu eski sürgünler, maceracılar ve paralı askerler vampirizmine rağmen Asuryan'ın türbesini korurlar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	Bu eski sürgünler, maceracılar ve paralı askerler vampirizmine rağmen Kurnous'un türbesini korurlar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	Bu eski sürgünler, maceracılar ve paralı askerler vampirizmine rağmen Khaine'in türbesini korurlar.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	Bu başarısız vampirler eskiden Khaine'in rahipleriydi.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	Bu başarısız vampirler eskiden Kurnous'un rahipleriydi.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	Bu başarısız vampirler eskiden Asuryan'ın rahipleriydi.	false
