key	text	tooltip
#Loc;1;text/idrinth__es.loc.tsvdb/idrinth__es.loc		
upgrade_tooltips_idrinth_unit_asuryan	Mejora la Guardia Élfica Mixta a Guardia de Asuryan por 300 de Oro.	false
upgrade_tooltips_idrinth_priest_asuryan	Intenta convertir a este sacerdote en vampiro por 1000 de Oro y 250 de Favor. Esto puede fallar y en el peor de los casos simplemente matarlo.	false
upgrade_tooltips_idrinth_unit_khaine	Mejora la Guardia Élfica Mixta a Guardia de Khaine por 300 de Oro.	false
upgrade_tooltips_idrinth_priest_khaine	Intenta convertir a este sacerdote en vampiro por 1000 de Oro y 250 de Favor. Esto puede fallar y en el peor de los casos simplemente matarlo.	false
upgrade_tooltips_idrinth_unit_kurnous	Mejora la Guardia Élfica Mixta a Guardia de Kurnous por 300 de Oro.	false
upgrade_tooltips_idrinth_priest_kurnous	Intenta convertir a este sacerdote en vampiro por 1000 de Oro y 250 de Favor. Esto puede fallar y en el peor de los casos simplemente matarlo.	false
upgrade_tooltips_idrinth_animal_kurnous_eagle	Bendice al gran águila en nombre de Kurnous por 125 de oro y 70 de favor.	false
upgrade_tooltips_idrinth_animal_khaine_eagle	Bendice al gran águila en nombre de Khaine por 125 de oro y 70 de favor.	false
upgrade_tooltips_idrinth_animal_asuryan_eagle	Bendice al gran águila en nombre de Asuryan por 125 de oro y 70 de favor.	false
upgrade_tooltips_idrinth_animal_kurnous_hawks	Bendice a los halcones en nombre de Kurnous por 100 de oro y 40 de favor.	false
upgrade_tooltips_idrinth_animal_khaine_hawks	Bendice a los halcones en nombre de Khaine por 100 de oro y 40 de favor.	false
upgrade_tooltips_idrinth_animal_asuryan_hawks	Bendice a los halcones en nombre de Asuryan por 100 de oro y 40 de favor.	false
upgrade_tooltips_idrinth_animal_kurnous_bats	Bendice a los murciélagos en nombre de Kurnous por 50 de oro y 20 de favor.	false
upgrade_tooltips_idrinth_animal_khaine_bats	Bendice a los murciélagos en nombre de Khaine por 50 de oro y 20 de favor.	false
upgrade_tooltips_idrinth_animal_asuryan_bats	Bendice a los murciélagos en nombre de Asuryan por 50 de oro y 20 de favor.	false
upgrade_tooltips_idrinth_animal_kurnous_wolves	Bendice a los lobos en nombre de Kurnous por 75 de oro y 30 de favor.	false
upgrade_tooltips_idrinth_animal_khaine_wolves	Bendice a los lobos en nombre de Khaine por 75 de oro y 30 de favor.	false
upgrade_tooltips_idrinth_animal_asuryan_wolves	Bendice a los lobos en nombre de Asuryan por 75 de oro y 30 de favor.	false
upgrade_tooltips_idrinth_size_outriders	Aumenta el número de Exploradores de la Capilla en 5 por 250 de oro. Los rangos se conservan.	false
upgrade_tooltips_idrinth_size_kurnous	Aumenta el número de la Guardia de Kurnous en 15 por 300 de oro. Los rangos y el estatus de veterano se conservan.	false
upgrade_tooltips_idrinth_size_khaine	Aumenta el número de la Guardia de Khaine en 15 por 300 de oro. Los rangos y el estatus de veterano se conservan.	false
upgrade_tooltips_idrinth_size_asuryan	Aumenta el número de la Guardia de Asuryan en 15 por 300 de oro. Los rangos y el estatus de veterano se conservan.	false
