key	text	tooltip
#Loc;1;text/.zh/idrinth_building_chains__.zh.loc		
building_chains_chain_tooltip_idrinth_hev_high_elf_vampires_chapel	精靈社區教堂	false
building_chains_encyclopedia_description_idrinth_hev_high_elf_vampires_chapel	一座為精靈流亡者、冒險家和流浪者的小社區而建的教堂。	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_chapel	精靈社區教堂	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_beasts	精靈獸醫所	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_diplomacy	精靈外交站	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_altar	精靈工匠坊	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde	精靈營地	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_healer_wagon	精靈治療師	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_quartermaster	精靈軍需官	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_trader	精靈商人	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters	工匠區	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern	精靈酒館	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_library	精靈圖書館	false
