key	text	tooltip
#Loc;1;text/.zh/idrinth_unit_description_historical_texts__.zh.loc		
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_idrinth	以精靈的優雅和吸血鬼的力量揮劍，以精靈的精準和吸血鬼的力量射箭。這些生物令大多數人心生恐懼。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan	這些絕望的流亡者、冒險家和傭兵守護著一座阿蘇瑞安聖壇。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous	這些絕望的流亡者、冒險家和傭兵守護著一座庫爾諾斯聖壇。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine	這些絕望的流亡者、冒險家和傭兵守護著一座凱恩聖壇。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_mixed	這些絕望的流亡者、冒險家和傭兵守護著一座獻給他們神祇的教堂。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	這些曾經的流亡者、冒險家和傭兵守護著一座阿蘇瑞安聖壇。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	這些曾經的流亡者、冒險家和傭兵守護著一座庫爾諾斯聖壇。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_leader	這些曾經的流亡者、冒險家和傭兵守護著一座凱恩聖壇。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_shrine	這座臨時製作的、獻給阿蘇瑞安、庫爾諾斯和凱恩的活動神殿保護並幫助守軍堅守陣地。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_stone_wolves	這些石製野獸結合了精靈工藝和毀滅性附魔，使它們成為塔路易教堂最好的衝擊部隊之一。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_outriders	這些驕傲的男女騎馬出擊，保護道路和側翼，使用藥劑來增強他們的生存能力和機會。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	這些曾經的流亡者、冒險家和傭兵儘管身為吸血鬼，仍守護著一座阿蘇瑞安聖壇。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	這些曾經的流亡者、冒險家和傭兵儘管身為吸血鬼，仍守護著一座庫爾諾斯聖壇。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	這些曾經的流亡者、冒險家和傭兵儘管身為吸血鬼，仍守護著一座凱恩聖壇。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	這些失敗的吸血鬼曾是凱恩的祭司。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	這些失敗的吸血鬼曾是庫爾諾斯的祭司。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	這些失敗的吸血鬼曾是阿蘇瑞安的祭司。	false
