key	text	tooltip
#Loc;1;text/.cz/idrinth_effect_bundles__.cz.loc		
effect_bundles_localised_description_idrinth_dilemma_empire_FIRST	Učenkyně se velmi zajímala o staré války. Diskuze s Idrinthem ji vedla k objevení taktik, které jsou užitečné i nyní.	false
effect_bundles_localised_description_idrinth_dilemma_empire_SECOND	Učenkyně a Idrinth diskutovali o magii, nalezli některá drobná vylepšení pro tvé mágy k implementaci.	false
effect_bundles_localised_description_idrinth_dilemma_empire_THIRD	Zeptal jsi se učenkyně na Idrintha, dozvěděl ses o jeho dlouhé válce proti chaosu.	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_FIRST	Odehnal jsi posla, čímž jsi Idrinthovi usnadnil život.	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_SECOND	Konfrontoval jsi Idrintha ohledně jeho minulosti, zanechávaje ho v temnější náladě.	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_THIRD	Idrinth se setkal s poslem od svého starého lidu, dozvěděl se o současných cílech své rodiny. Zdá se být v lehčí náladě.	false
effect_bundles_localised_description_idrinth_dilemma_kislev_FIRST	Předal jsi vetřelce Idrinthovi k výslechu.	false
effect_bundles_localised_description_idrinth_dilemma_kislev_SECOND	Zabil jsi vetřelce, rozzlobil mateřskou zem, ale zabránil horším věcem.	false
effect_bundles_localised_description_idrinth_dilemma_kislev_THIRD	Vetřelec se k vám připojil, čímž Idrintha hluboce znepokojil.	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_FIRST	Obvinil jsi Idrintha z vraždy a vysátí služebníka. Snaží se dokázat svou nevinu.	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_SECOND	Zeptal jsi se Idrintha na svitek, dozvěděl ses o některých prastarých magických teoriích.	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_THIRD	Rozhodl jsi se lovit vraha jinde a tvé jednotky jsou nyní ve vyšší pohotovosti.	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_FIRST	Idrinth a stopařka se setkali a pohádali kvůli tomu, co udělal její vesnici.	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_SECOND	Ukryl jsi Idrintha před stopařkou, dokud neodešla. I když je vděčný, zhoršilo to jeho náladu.	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_THIRD	Konfrontoval jsi Idrintha ohledně stopařky, přiměl ho přemýšlet o své minulosti a přítomnosti.	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_FIRST	Zeptal jsi se trpaslíků na elfa, což tě vedlo k větší podezřívavosti vůči Idrinthovi. On je zase méně pohodlný kolem tebe, který se pokoušel pátrat v jeho minulosti.	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_SECOND	Vyměnil jsi si informace o Válkách s upíry, sdílel jsi informace z první ruky.	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_THIRD	Představil jsi Idrintha trpaslíkům. Nedopadlo to tak, jak jsi zamýšlel, pokusili se zaútočit na monstrum, kterým se stal.	false
effect_bundles_localised_title_idrinth_dilemma_empire_FIRST	Diskutováno o minulých válkách	false
effect_bundles_localised_title_idrinth_dilemma_empire_SECOND	Diskutováno o magii	false
effect_bundles_localised_title_idrinth_dilemma_empire_THIRD	Zeptáno se na Idrintha	false
effect_bundles_localised_title_idrinth_dilemma_high_elves_FIRST	Posel odehnán	false
effect_bundles_localised_title_idrinth_dilemma_high_elves_SECOND	Idrinth konfrontován	false
effect_bundles_localised_title_idrinth_dilemma_high_elves_THIRD	Posel přijat	false
effect_bundles_localised_title_idrinth_dilemma_kislev_FIRST	Vetřelec předán Idrinthovi	false
effect_bundles_localised_title_idrinth_dilemma_kislev_SECOND	Vetřelec zabit	false
effect_bundles_localised_title_idrinth_dilemma_kislev_THIRD	Vetřelec přijat	false
effect_bundles_localised_title_idrinth_dilemma_vampire_counts_FIRST	Idrinth obviněn	false
effect_bundles_localised_title_idrinth_dilemma_vampire_counts_SECOND	Zeptáno na svitek	false
effect_bundles_localised_title_idrinth_dilemma_vampire_counts_THIRD	Hledán vrah jinde	false
effect_bundles_localised_title_idrinth_dilemma_wood_elves_FIRST	Stopařka přijata	false
effect_bundles_localised_title_idrinth_dilemma_wood_elves_SECOND	Idrinth ukryt	false
effect_bundles_localised_title_idrinth_dilemma_wood_elves_THIRD	Idrinth konfrontován	false
effect_bundles_localised_title_idrinth_dilemma_dwarves_FIRST	Zeptáno trpaslíků na elfa	false
effect_bundles_localised_title_idrinth_dilemma_dwarves_SECOND	Přistoupeno k Idrinthovi ohledně válek s upíry	false
effect_bundles_localised_title_idrinth_dilemma_dwarves_THIRD	Idrinth představen trpaslíkům	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_asuryan_large	Asuryanova velká ochrana	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_kurnous_large	Kurnousovo božské vedení	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_khaine_large	Khainova krvavá vlna	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_asuryan_medium	Asuryanova ochrana	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_kurnous_medium	Kurnousovo vedení	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_khaine_medium	Khainova krvavá oběť	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_asuryan_small	Asuryanova menší ochrana	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_kurnous_small	Kurnousovo jemné vedení	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_khaine_small	Khainova kapka krve	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_asuryan_large	Tvoji válečníci nejen vynikají v uhýbání úderům a sotva jim unikají útoky, jejich rány se také léčí výrazně rychleji než obvykle.	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_kurnous_large	Jako přirození lovci se tvoji válečníci pohybují rychle a neviděni při lovu potravy i nepřátel.	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_khaine_large	Tvé jednotky a noví dobrovolníci zažívají vzrušení z bitvy, činíc je nebezpečnějšími pro své nepřátele.	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_asuryan_medium	Tvoji válečníci náhle vynikají v uhýbání úderům a sotva jim unikají útoky.	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_kurnous_medium	Tvoji válečníci jsou přirozeně nenápadní při lovu potravy i nepřátel.	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_khaine_medium	Tvoji válečníci cítí hlad po boji, činíc jak veterány, tak nové rekruty nebezpečnějšími pro své nepřátele.	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_asuryan_small	Tvoji válečníci zažívají trochu štěstí při uhýbání úderům a magii, i když to nestačí k spolehnutí.	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_kurnous_small	Malé množství vedení a štěstí při lovech prospívá tvým jednotkám.	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_khaine_small	Menší kapka krve z Khainovy pěsti vede k více dobrovolníkům pro tvé jednotky.	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_asuryan_large_cost		false
effect_bundles_localised_description_idrinth_dilemma_god_favour_kurnous_large_cost		false
effect_bundles_localised_description_idrinth_dilemma_god_favour_khaine_large_cost		false
effect_bundles_localised_description_idrinth_dilemma_god_favour_asuryan_medium_cost		false
effect_bundles_localised_description_idrinth_dilemma_god_favour_kurnous_medium_cost		false
effect_bundles_localised_description_idrinth_dilemma_god_favour_khaine_medium_cost		false
effect_bundles_localised_description_idrinth_dilemma_god_favour_asuryan_small_cost		false
effect_bundles_localised_description_idrinth_dilemma_god_favour_kurnous_small_cost		false
effect_bundles_localised_description_idrinth_dilemma_god_favour_khaine_small_cost		false
effect_bundles_localised_title_idrinth_dilemma_god_favour_asuryan_large_cost	Cena: Asuryanova velká ochrana	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_kurnous_large_cost	Cena: Kurnousovo božské vedení	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_khaine_large_cost	Cena: Khainova krvavá vlna	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_asuryan_medium_cost	Cena: Asuryanova ochrana	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_kurnous_medium_cost	Cena: Kurnousovo vedení	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_khaine_medium_cost	Cena: Khainova krvavá oběť	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_asuryan_small_cost	Cena: Asuryanova menší ochrana	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_kurnous_small_cost	Cena: Kurnousovo jemné vedení	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_khaine_small_cost	Cena: Khainova kapka krve	false
effect_bundles_localised_description_idrinth_vampiric_priests	Idrinth proměnil své kněze na upíry. Kéž nás jejich oběť zachrání.	false
effect_bundles_localised_title_idrinth_vampiric_priests	Upíří kněží	false
effect_bundles_localised_title_idrinth_successful_action_army	Motivovaný agent	false
effect_bundles_localised_title_idrinth_successful_action_army_critical	Motivovaný agent	false
effect_bundles_localised_title_idrinth_successful_action_character	Motivovaný agent	false
effect_bundles_localised_title_idrinth_successful_action_character_critical	Motivovaný agent	false
effect_bundles_localised_title_idrinth_hev_high_elf_vampires_bundle_stance_army_ambush	Postoj: Mistrovská léčka	false
effect_bundles_localised_title_idrinth_hev_high_elf_vampires_bundle_stance_army_channelling	Postoj: Kanalizování	false
effect_bundles_localised_title_idrinth_hev_vampires_bundle_stance_army_default	Postoj: Žádný	false
effect_bundles_localised_title_idrinth_hev_high_elf_vampires_bundle_stance_army_raiding	Postoj: Plenění	false
effect_bundles_localised_title_idrinth_hev_vampires_bundle_stance_army_forced_march	Postoj: Pochod	false
effect_bundles_localised_title_idrinth_hev_high_elf_vampires_bundle_stance_army_settlement	Postoj: Tábor	false
effect_bundles_localised_title_idrinth_hev_high_elf_vampires_bundle_stance_army_tunnelling	Postoj: Použít kořeny světa	false
effect_bundles_localised_title_idrinth_hev_high_elf_vampires_bundle_stance_navy_blockading	Postoj: Plenění moří	false
effect_bundles_localised_title_idrinth_hev_vampires_bundle_stance_army_garrisoned	Situace: V posádce	false
effect_bundles_localised_title_idrinth_hev_high_elf_vampires_bundle_stance_siege	Situace: Obléhání	false
effect_bundles_localised_title_idrinth_hev_high_elf_vampires_bundle_stance_patrol	Postoj: Hlídkování	false
effect_bundles_localised_title_idrinth_asuryan_god_favour_cave_bats	Asuryanova požehnání	false
effect_bundles_localised_description_idrinth_asuryan_god_favour_cave_bats	Asuryan žehná jeskynním netopýrům, aby přežili déle.	false
effect_bundles_localised_title_idrinth_kurnous_god_favour_cave_bats	Kurnousovo požehnání	false
