key	text	tooltip
#Loc;1;text/idrinth__cz.loc.tsvdb/idrinth__cz.loc		
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_0	Kaple pro komunitu tuláků, vyhnanců a dobrodruhů elfího druhu. Tito elfové následují Idrinthovy stopy jako příklad, jak žít své životy.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_asuryan	Kaple pro komunitu tuláků, vyhnanců a dobrodruhů elfího druhu. Tito elfové následují Idrinthovy stopy jako příklad, jak žít své životy ve jménu Asuryana.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_kurnous	Kaple pro komunitu tuláků, vyhnanců a dobrodruhů elfího druhu. Tito elfové následují Idrinthovy stopy jako příklad, jak žít své životy ve jménu Kurnouse.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_khaine	Kaple pro komunitu tuláků, vyhnanců a dobrodruhů elfího druhu. Tito elfové následují Idrinthovy stopy jako příklad, jak žít své životy ve jménu Khaina.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_asuryan	Velká kaple pro komunitu tuláků, vyhnanců a dobrodruhů elfího druhu. Tito elfové následují Idrinthovy stopy jako příklad, jak žít své životy ve jménu Asuryana.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_kurnous	Velká kaple pro komunitu tuláků, vyhnanců a dobrodruhů elfího druhu. Tito elfové následují Idrinthovy stopy jako příklad, jak žít své životy ve jménu Kurnouse.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_khaine	Velká kaple pro komunitu tuláků, vyhnanců a dobrodruhů elfího druhu. Tito elfové následují Idrinthovy stopy jako příklad, jak žít své životy ve jménu Khaina.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_0_beasts	Malá chýše veterinářů pomáhajících zvířatům jak lidských sousedů, tak divočiny.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_beasts	Dům veterinářů pomáhajících zvířatům jak lidských sousedů, tak divočiny.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_beasts	Velký komplex veterinářů pomáhajících zvířatům jak lidských sousedů, tak divočiny.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	Malé elfí vyslanectví umožňující přímější komunikaci se všemi elfími říšemi.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	Elfí vyslanectví umožňující přímější komunikaci se všemi elfími říšemi.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_altar	Budova vyrábějící jak normální oltáře, tak válečné oltáře pro kaple.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_0	Malý tábor sil Thaluiánské kaple a jejich spojenců, držený pohromadě Idrinthovou vlastní přítomností.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_0	Jediný vůz obývaný vyškoleným léčitelem, který může pomoci se základními neduhy.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_0	Intendant organizující obstarávání zbraní a zbroje a také výplatu žoldu.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_0	Jediný vůz obchodníka s běžným zbožím, který vidí výhody v následování armády.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_1	Tábor sil Thaluiánské kaple a jejich spojenců, držený pohromadě jejich nenávistí k chaosu a Idrinthovou vlastní přítomností.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_1	Skupina vozů hlavního léčitele a jeho učňů, schopná zvládat většinu neduhů.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_1	Malá rada táborových funkcionářů pomáhající organizovat tábor jak v civilních, tak vojenských záležitostech.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_1	Několik vozů obchodníků, kteří pomáhají financovat armádu a sami si přitom pěkně vydělávají.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_2	Velký tábor sil Thaluiánské kaple a jejich spojenců, držený pohromadě jejich nenávistí k chaosu, oportunismem a Idrinthovou vlastní přítomností.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_2	Skupina vozů obsahující více hlavních léčitelů, kteří společně trénují studenty a léčí potřebné.	false
