key	text	tooltip
#Loc;1;text/idrinth__cn.loc.tsv/idrinth__cn.loc		
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_idrinth	以精灵的优雅和吸血鬼的力量挥舞刀剑，以精灵的精准和吸血鬼的力量射箭。这些生物给大多数人的心中带来恐惧。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan	这些绝望的流亡者、冒险者和雇佣兵保护着阿苏里安的神龛。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous	这些绝望的流亡者、冒险者和雇佣兵保护着库尔诺斯的神龛。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine	这些绝望的流亡者、冒险者和雇佣兵保护着凯恩的神龛。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_mixed	这些绝望的流亡者、冒险者和雇佣兵保护着供奉他们神灵的礼拜堂。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	这些前流亡者、冒险者和雇佣兵保护着阿苏里安的神龛。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	这些前流亡者、冒险者和雇佣兵保护着库尔诺斯的神龛。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_leader	这些前流亡者、冒险者和雇佣兵保护着凯恩的神龛。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_shrine	这座供奉阿苏里安、库尔诺斯和凯恩的临时移动神龛保护并帮助防御者坚守阵地。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_stone_wolves	这些石制野兽结合了精灵工艺与毁灭性附魔，使它们成为塔卢伊礼拜堂可用的最佳突击部队之一。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_outriders	这些骄傲的男男女女骑马出征，使用药剂来增强他们的生存能力和机会，以确保道路和侧翼安全。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	这些前流亡者、冒险者和雇佣兵尽管已成为吸血鬼，仍然保护着阿苏里安的神龛。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	这些前流亡者、冒险者和雇佣兵尽管已成为吸血鬼，仍然保护着库尔诺斯的神龛。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	这些前流亡者、冒险者和雇佣兵尽管已成为吸血鬼，仍然保护着凯恩的神龛。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	这些失败的吸血鬼曾经是凯恩的祭司。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	这些失败的吸血鬼曾经是库尔诺斯的祭司。	false
unit_description_historical_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	这些失败的吸血鬼曾经是阿苏里安的祭司。	false
