key	text	tooltip
#Loc;1;text/idrinth__br.loc.tsv/idrinth__br.loc		
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_0	Uma capela para uma comunidade de malfeitores, exilados e aventureiros da raça élfica. Estes elfos seguem os passos de Idrinth como exemplo de como viver suas vidas.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_asuryan	Uma capela para uma comunidade de malfeitores, exilados e aventureiros da raça élfica. Estes elfos seguem os passos de Idrinth como exemplo de como viver suas vidas em nome de Asuryan.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_kurnous	Uma capela para uma comunidade de malfeitores, exilados e aventureiros da raça élfica. Estes elfos seguem os passos de Idrinth como exemplo de como viver suas vidas em nome de Kurnous.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_khaine	Uma capela para uma comunidade de malfeitores, exilados e aventureiros da raça élfica. Estes elfos seguem os passos de Idrinth como exemplo de como viver suas vidas em nome de Khaine.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_asuryan	Uma grande capela para uma comunidade de malfeitores, exilados e aventureiros da raça élfica. Estes elfos seguem os passos de Idrinth como exemplo de como viver suas vidas em nome de Asuryan.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_kurnous	Uma grande capela para uma comunidade de malfeitores, exilados e aventureiros da raça élfica. Estes elfos seguem os passos de Idrinth como exemplo de como viver suas vidas em nome de Kurnous.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_khaine	Uma grande capela para uma comunidade de malfeitores, exilados e aventureiros da raça élfica. Estes elfos seguem os passos de Idrinth como exemplo de como viver suas vidas em nome de Khaine.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_0_beasts	Uma pequena cabana de veterinários ajudando animais tanto de vizinhos humanos quanto da natureza selvagem.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_beasts	Uma casa de veterinários ajudando animais tanto de vizinhos humanos quanto da natureza selvagem.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_beasts	Um grande complexo de veterinários ajudando animais tanto de vizinhos humanos quanto da natureza selvagem.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	Um pequeno alcance élfico, permitindo comunicação mais direta com todos os reinos élficos.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	Um alcance élfico, permitindo comunicação mais direta com todos os reinos élficos.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_altar	Um edifício que fabrica tanto altares normais quanto altares de guerra para as capelas.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_0	Um pequeno acampamento das forças da Capela Thaluiana e seus aliados, mantido unido pela própria presença de Idrinth.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_0	Uma única carroça habitada por um curandeiro treinado que pode ajudar com doenças básicas.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_0	Um intendente organizando a aquisição de armas e armaduras, bem como o pagamento de salários.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_0	Uma única carroça de um comerciante de bens comuns, que vê benefícios em seguir um exército.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_1	Um acampamento das forças da Capela Thaluiana e seus aliados, mantido unido pelo ódio ao caos e pela própria presença de Idrinth.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_1	Um grupo de carroças de um mestre curandeiro e seus aprendizes, capaz de lidar com a maioria das doenças.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_1	Um pequeno conselho de funcionários do acampamento ajudando a organizar o acampamento tanto em assuntos civis quanto militares.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_1	Múltiplas carroças de mercadores, que ajudam a financiar o exército e também obtêm um bom lucro para si mesmos.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_2	Um grande acampamento das forças da Capela Thaluiana e seus aliados, mantido unido pelo ódio ao caos, oportunismo e pela própria presença de Idrinth.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_2	Um grupo de carroças contendo múltiplos mestres curandeiros que treinam estudantes juntos e curam os necessitados.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_2	Um conselho de funcionários do acampamento liderado por Idrinth que governa o acampamento através de oficiais e julgamentos.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_2	Uma guilda organizada de mercadores, que usam o acampamento como sua base, levando produtos élficos a uma grande variedade de pessoas e se beneficiando financeiramente.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_artisan_quarters_1	Uma pequena oficina produzindo artesanato élfico, permitindo que a capela gere comércio e renda.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_artisan_quarters_2	Uma grande oficina produzindo artesanato élfico e itens mágicos, permitindo que a capela gere comércio e renda.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_tavern_0	Uma pequena taverna que permite que tanto as forças da capela quanto aliados descansem de longos dias.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_tavern_1	Uma taverna que permite que tanto as forças da capela quanto aliados descansem de longos dias.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_tavern_2	Uma grande taverna que permite que tanto as forças da capela quanto aliados descansem de longos dias.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_library_2	Uma biblioteca coletando conhecimento élfico e pesquisando mais.	false
