key	text	tooltip
#Loc;1;text/idrinth_effects__.de.loc.tsv/idrinth_effects__.de.loc		
effects_description_idrinth_effect_agent_action_assist_army_training	[[col:yellow]]{{tr:agent_action_name_training}}[[/col]]-Aktion: Erfahrungsgewinn der Einheiten wird um zusätzliche %+n% erhöht	false
effects_description_idrinth_effect_agent_action_enable_hinder_army_assault_units	[[col:yellow]]{{tr:agent_action_name_assault_units}}[[/col]]-Aktion: Zusätzliche %+n% verursachte Verluste	false
effects_description_idrinth_effect_agent_action_enable_hinder_agent_assassinate	[[col:yellow]]{{tr:agent_action_name_assassinate}}[[/col]]-Aktion: Zusätzliche %+n% Erfolgschance	false
effects_description_idrinth_effect_agent_action_enable_passive_spread_corruption_vmp	[[col:yellow]]{{tr:agent_action_name_spread_corruption}}[[/col]]-Aktion: Vampirische Verderbnis wird um zusätzliche %+n erhöht	false
effects_description_idrinth_pooled_resource_khaine	Erzeugt %+n Gunst des Khaine.	false
effects_description_idrinth_pooled_resource_kurnous	Erzeugt %+n Gunst des Kurnous.	false
effects_description_idrinth_pooled_resource_asuryan	Erzeugt %+n Gunst des Asuryan.	false
effects_description_idrinth_effect_upkeep_idrinth	Unterhalt um %+n% erhöht für Idrinth.	false
effects_description_idrinth_initiative_khaine	Dem Pfad des Khaine, des Kriegers, zu folgen, lässt Euch Eure Feinde niedermetzeln.	false
effects_description_idrinth_initiative_kurnous	Dem Pfad des Kurnous, des Jägers, zu folgen, macht Euch zu einem besseren Jäger.	false
effects_description_idrinth_initiative_asuryan	Dem Pfad des Asuryan, des Beschützers, zu folgen, beschützt Euch.	false
effects_description_idrinth_chapel_khaine_charge	Khaine stärkt Eure Entschlossenheit und macht Idrinth und Kapellenbesatzungen zu %+n% besseren Stoßtruppen.	false
effects_description_idrinth_chapel_kurnous_range	Kurnous stärkt Euren Bogen und lässt Idrinth und Kapellenbesatzungen %+n% weiter schießen.	false
effects_description_idrinth_chapel_asuryan_ward_save	Asuryan stärkt Euren Geist und schützt Idrinth und Kapellenbesatzungen vor %+n Schaden mit einer Barriere.	false
effects_description_idrinth_loremaster_lore_of_vampires	Reduziert Kosten, Abklingzeit und Fehlschlagchance um %+n% für Zauber der Vampirlehre.	false
effects_description_idrinth_loremaster_lore_of_vampires_2	Erhöht die Reichweite von Zaubern der Lehre der Vampire um %+n%.	false
effects_description_idrinth_loremaster_lore_of_shadows	Reduziert Kosten, Abklingzeit und Fehlschlagchance um %+n% für Zauber der Schattenlehre.	false
effects_description_idrinth_loremaster_lore_of_shadows_2	Erhöht die Reichweite von Zaubern der Lehre der Schatten um %+n%.	false
effects_description_idrinth_loremaster_lore_of_death	Reduziert Kosten, Abklingzeit und Fehlschlagchance um %+n% für Zauber der Todeslehre.	false
effects_description_idrinth_loremaster_lore_of_death_2	Erhöht die Reichweite von Zaubern der Lehre des Todes um %+n%.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_weapon_strength	Waffenstärke %+n% für Priester.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_vigour_loss_reduction	Erschöpfungsverlust %+n% für Priester.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_speed	Geschwindigkeit %+n% für Priester.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_range	Reichweite %+n% für Priester.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_melee_defence	Nahkampfverteidigung %+n für Priester.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_melee_attack_pct	Nahkampfangriff %+n für Priester.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_fire_resistance	Feueranfälligkeit %+n% für Priester.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_charge_bonus_pct	Sturmbonus %+n% für Priester.	false
effects_description_idrinth_priests_wh_main_effect_force_all_campaign_replenishment_rate	Auffüllung %+n% für Priester.	false
effects_description_idrinth_priests_wh_main_effect_character_stat_physical_resistance	Physische Resistenz %+n% für Priester.	false
effects_description_idrinth_priests_wh_main_effect_character_stat_missile_resistance	Geschossresistenz %+n% für Priester.	false
effects_description_idrinth_priests_wh_main_effect_character_stat_missile_damage	Geschossschaden %+n% für Priester.	false
effects_description_idrinth_priests_wh_main_effect_attribute_enable_causes_fear	Priester verursachen Furcht.	false
effects_description_idrinth_priests_wh_main_effect_ability_enable_the_hunger	Priester haben vampirischen Hunger.	false
effects_description_idrinth_priests_wh_main_effect_ability_enable_invocation_of_nehek	Priester kennen die Anrufung Neheks.	false
effects_description_idrinth_priests_wh2_dlc16_effect_unit_enable_attribute_undead	Priester sind untot.	false
effects_description_idrinth_successful_action_motivation	Erfolgschance, Kosten und kritische Chance werden um %+n% erhöht.	false
effects_description_idrinth_ranger_knowledge_primary	Elfen der Thaluischen Kapellen können %+n% weiter schießen.	false
effects_description_idrinth_blade_dancing_primary	Elfen der Thaluischen Kapellen tanzen feindlichen Klingen aus und erhöhen ihre Nahkampfverteidigung um %+n.	false
effects_description_idrinth_unusual_training_primary	Elfen der Thaluischen Kapellen erhöhen ihre Führung um %+n.	false
effects_description_idrinth_running_wild_primary	Elfen der Thaluischen Kapellen erhöhen ihre Bewegungsgeschwindigkeit um %+n%.	false
effects_description_idrinth_veterans_primary	Elfische Veteranen der Thaluischen Kapellen schlagen im Nahkampf %+n% härter zu.	false
effects_description_idrinth_strong_as_stone_primary	Belebte Einheiten der Thaluischen Kapellen widerstehen %+n% mehr Schaden.	false
effects_description_idrinth_beasts_of_nature_primary	Bestien der Thaluischen Kapellen sind wilder und erhöhen ihren Nahkampfangriff um %+n.	false
effects_description_idrinth_ranger_knowledge_secondary	Elfen der Thaluischen Kapellen erhöhen ihre Nachladegeschwindigkeit um %+n%.	false
effects_description_idrinth_blade_dancing_secondary	Elfen der Thaluischen Kapellen tanzen feindlichen Klingen aus und erhöhen ihren Nahkampfangriff um %+n.	false
effects_description_idrinth_unusual_training_secondary	Elfen der Thaluischen Kapellen haben gelernt, ihre Rüstung wirksamer zu tragen, was ihre Rüstungswertung um %+n erhöht.	false
effects_description_idrinth_running_wild_secondary	Elfen der Thaluischen Kapellen laufen wild und erhöhen ihre Sturmwertung um %+n.	false
effects_description_idrinth_veterans_secondary	Elfische Veteranen der Thaluischen Kapellen ermüden %+n% langsamer.	false
effects_description_idrinth_strong_as_stone_secondary	Konstrukte der Thaluischen Kapellen erhöhen ihre Sturmwertung um %+n.	false
effects_description_idrinth_beasts_of_nature_secondary	Bestien der Thaluischen Kapellen sind motivierter und erhöhen ihre Bewegungsgeschwindigkeit um %+n%.	false
effects_description_idrinth_veterans_tertiary	Elfische Veteranen der Thaluischen Kapellen haben Furcht und Gefahr schon erlebt und erhöhen ihre Führung um %+n.	false
effects_description_idrinth_unit_capacity_chapel_mixed_elven_guard	%+n Einheitenlimit für Gemischte Elfengarde.	false
effects_description_idrinth_unit_capacity_chapel_asuryan_guard	%+n Einheitenlimit für Asuryans Garde.	false
effects_description_idrinth_unit_capacity_chapel_khaine_guard	%+n Einheitenlimit für Khaines Garde.	false
effects_description_idrinth_unit_capacity_chapel_kurnous_guard	%+n Einheitenlimit für Kurnous' Garde.	false
effects_description_idrinth_unit_capacity_chapel_asuryan_priest	%+n Einheitenlimit für Asuryans Priester.	false
effects_description_idrinth_unit_capacity_chapel_khaine_priest	%+n Einheitenlimit für Khaines Priester.	false
effects_description_idrinth_unit_capacity_chapel_kurnous_priest	%+n Einheitenlimit für Kurnous' Priester.	false
effects_description_idrinth_unit_capacity_chapel_asuryan_vampire_priest	%+n Einheitenlimit für Asuryans Vampirpriester.	false
effects_description_idrinth_unit_capacity_chapel_khaine_vampire_priest	%+n Einheitenlimit für Khaines Vampirpriester.	false
effects_description_idrinth_unit_capacity_chapel_kurnous_vampire_priest	%+n Einheitenlimit für Kurnous' Vampirpriester.	false
effects_description_idrinth_unit_capacity_chapel_asuryan_varghulf	%+n Einheitenlimit für Asuryan-Varghulf.	false
effects_description_idrinth_unit_capacity_chapel_khaine_varghulf	%+n Einheitenlimit für Khaine-Varghulfs.	false
effects_description_idrinth_unit_capacity_chapel_kurnous_varghulf	%+n Einheitenlimit für Kurnous-Varghulfs.	false
effects_description_idrinth_unit_capacity_chapel_shrine	%+n Einheitenlimit für Schreine zu Asuryan, Kurnous und Khaine.	false
effects_description_idrinth_unit_capacity_chapel_stone_wolves	%+n Einheitenlimit für Steinwölfe.	false
effects_description_idrinth_unit_capacity_chapel_outriders	%+n Einheitenlimit für Vorreiter.	false
effects_description_idrinth_chapel_units_upkeep	%+n% weniger Unterhalt für alle elfischen Einheiten der Thaluischen Kapellen.	false
effects_description_idrinth_chapel_units_recruitment_rank	%+n Rekrutierungsrang für alle elfischen Einheiten der Thaluischen Kapellen.	false
