key	text	tooltip
#Loc;1;text/idrinth__cz.loc.tsvdb/idrinth__cz.loc		
effects_description_idrinth_effect_agent_action_assist_army_training	[[col:yellow]]{{tr:agent_action_name_training}}[[/col]] akce: Získávání zkušeností jednotky je zvýšeno o dalších %+n%	false
effects_description_idrinth_effect_agent_action_enable_hinder_army_assault_units	[[col:yellow]]{{tr:agent_action_name_assault_units}}[[/col]] akce: Dalších %+n% způsobených ztrát	false
effects_description_idrinth_effect_agent_action_enable_hinder_agent_assassinate	[[col:yellow]]{{tr:agent_action_name_assassinate}}[[/col]] akce: Dalších %+n% šance na úspěch	false
effects_description_idrinth_effect_agent_action_enable_passive_spread_corruption_vmp	[[col:yellow]]{{tr:agent_action_name_spread_corruption}}[[/col]] akce: Upíří korupce je zvýšena o dalších %+n	false
effects_description_idrinth_pooled_resource_khaine	Generuje %+n přízně Khaina.	false
effects_description_idrinth_pooled_resource_kurnous	Generuje %+n přízně Kurnouse.	false
effects_description_idrinth_pooled_resource_asuryan	Generuje %+n přízně Asuryana.	false
effects_description_idrinth_effect_upkeep_idrinth	Údržba zvýšena o %+n% pro Idrintha.	false
effects_description_idrinth_initiative_khaine	Následování cesty Khaina, válečníka, ti umožňuje vraždit své nepřátele.	false
effects_description_idrinth_initiative_kurnous	Následování cesty Kurnouse, lovce, z tebe činí lepšího lovce.	false
effects_description_idrinth_initiative_asuryan	Následování cesty Asuryana, ochránce, tě chrání.	false
effects_description_idrinth_chapel_khaine_charge	Khaine posiluje tvé odhodlání a činí Idrintha a kaplanské posádky o %+n% úderovými jednotkami.	false
effects_description_idrinth_chapel_kurnous_range	Kurnous posiluje tvůj luk a nechává Idrintha a kaplanské posádky střílet o %+n% dále.	false
effects_description_idrinth_chapel_asuryan_ward_save	Asuryan posiluje tvou mysl, chrání Idrintha a kaplanské posádky před %+n poškozením bariérou.	false
effects_description_idrinth_loremaster_lore_of_vampires	Snižuje cenu, cooldown a šanci na selhání o %+n% pro kouzla nauky upírů.	false
effects_description_idrinth_loremaster_lore_of_vampires_2	Zvyšuje dosah o %+n% pro kouzla nauky upírů.	false
effects_description_idrinth_loremaster_lore_of_shadows	Snižuje cenu, cooldown a šanci na selhání o %+n% pro kouzla nauky stínů.	false
effects_description_idrinth_loremaster_lore_of_shadows_2	Zvyšuje dosah o %+n% pro kouzla nauky stínů.	false
effects_description_idrinth_loremaster_lore_of_death	Snižuje cenu, cooldown a šanci na selhání o %+n% pro kouzla nauky smrti.	false
effects_description_idrinth_loremaster_lore_of_death_2	Zvyšuje dosah o %+n% pro kouzla nauky smrti.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_weapon_strength	Síla zbraně %+n% pro kněze.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_vigour_loss_reduction	Ztráta energie %+n% pro kněze.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_speed	Rychlost %+n% pro kněze.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_range	Dosah %+n% pro kněze.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_melee_defence	Obrana v boji zblízka %+n pro kněze.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_melee_attack_pct	Útok zblízka %+n pro kněze.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_fire_resistance	Zranitelnost ohněm %+n% pro kněze.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_charge_bonus_pct	Bonus za útok %+n% pro kněze.	false
effects_description_idrinth_priests_wh_main_effect_force_all_campaign_replenishment_rate	Doplňování %+n% pro kněze.	false
effects_description_idrinth_priests_wh_main_effect_character_stat_physical_resistance	Fyzická odolnost %+n% pro kněze.	false
