key	text	tooltip
#Loc;1;text/idrinth_building_short_description_texts__fr.loc.tsv/idrinth_building_short_description_texts__fr.loc		
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_0	Une chappelle pour une communauté de malandrins, exilés et aventuriers de la gent elfique. Ces elfes suivent les pas d'Idrinth comme exemple de vie.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_asuryan	Une chappelle pour une communauté de malandrins, exilés et aventuriers de la gent elfique. Ces elfes suivent les pas d'Idrinth comme exemple de vie au nom d'Asuryan.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_kurnous	Une chappelle pour une communauté de malandrins, exilés et aventuriers de la gent elfique. Ces elfes suivent les pas d'Idrinth comme exemple de vie au nom de Kurnous.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_khaine	Une chappelle pour une communauté de malandrins, exilés et aventuriers de la gent elfique. Ces elfes suivent les pas d'Idrinth comme exemple de vie au nom de Khaine.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_asuryan	Une grande chappelle pour une communauté de malandrins, exilés et aventuriers de la gent elfique. Ces elfes suivent les pas d'Idrinth comme exemple de vie au nom d'Asuryan.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_kurnous	Une grande chappelle pour une communauté de malandrins, exilés et aventuriers de la gent elfique. Ces elfes suivent les pas d'Idrinth comme exemple de vie au nom de Kurnous.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_khaine	Une grande chappelle pour une communauté de malandrins, exilés et aventuriers de la gent elfique. Ces elfes suivent les pas d'Idrinth comme exemple de vie au nom de Khaine.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_0_beasts	Une petite hutte de vétérinaires aidant les animaux des voisins humains et de la nature sauvage.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_beasts	Une maison de vétérinaires aidant les animaux des voisins humains et de la nature sauvage.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_beasts	Un grand complexe de vétérinaires aidant les animaux des voisins humains et de la nature sauvage.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	Une petite ambassade elfique, permettant une communication plus directe avec tous les royaumes elfiques.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	Une ambassade elfique, permettant une communication plus directe avec tous les royaumes elfiques.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_altar	Un bâtiment forgeant autels ordinaires et autels de guerre pour les chappelles.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_0	Un petit campement des forces de la Chappelle Thaluienne et de leurs alliés, maintenus par la présence même d'Idrinth.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_0	Un chariot unique habité par un guérisseur formé qui peut aider contre les maux simples.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_0	Un intendant organisant l'approvisionnement en armes et armures ainsi que le paiement des soldes.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_0	Un chariot unique d'un marchand de biens communs, qui voit avantage à suivre une armée.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_1	Un campement des forces de la Chappelle Thaluienne et de leurs alliés, maintenus par leur haine du chaos et la présence même d'Idrinth.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_1	Un groupe de chariots d'un maître guérisseur et de ses apprentis, capables de traiter la plupart des maux.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_1	Un petit conseil de fonctionnaires du campement aidant à organiser le camp en matières civiles et militaires.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_1	Plusieurs chariots de marchands, qui aident à financer l'armée tout en faisant eux-mêmes bon profit.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_2	Un grand campement des forces de la Chappelle Thaluienne et de leurs alliés, maintenus par leur haine du chaos, l'opportunisme et la présence même d'Idrinth.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_2	Un groupe de chariots contenant plusieurs maîtres guérisseurs qui forment ensemble des étudiants et soignent ceux en besoin.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_2	Un conseil des fonctionnaires du campement mené par Idrinth qui gouverne le camp par officiels et jugements.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_2	Une guilde organisée de marchands, qui utilisent le camp comme base, apportant des biens elfiques à grande variété de gens et en tirant profit.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_artisan_quarters_1	Un petit atelier produisant artisanat elfique, permettant à la chappelle de générer commerce et revenu.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_artisan_quarters_2	Un grand atelier produisant artisanat elfique et objets magiques, permettant à la chappelle de générer commerce et revenu.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_tavern_0	Une petite taverne, permettant aux forces de la chappelle ainsi qu'aux alliés de se reposer des longues journées.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_tavern_1	Une taverne, permettant aux forces de la chappelle ainsi qu'aux alliés de se reposer des longues journées.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_tavern_2	Une grande taverne, permettant aux forces de la chapelle ainsi qu'aux alliés de se reposer des longues journées.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_library_2	Une bibliothèque collectant le savoir elfique et poursuivant les recherches.	false
