key	text	tooltip
#Loc;1;text/idrinth__es.loc.tsvdb/idrinth__es.loc		
effect_bundles_localised_description_idrinth_dilemma_empire_FIRST	La erudita estaba muy interesada en guerras antiguas. La discusión con Idrinth la guió a descubrir tácticas que también son útiles ahora.	false
effect_bundles_localised_description_idrinth_dilemma_empire_SECOND	La erudita e Idrinth discutieron sobre magia, encontrando algunas pequeñas mejoras para que tus magos implementen.	false
effect_bundles_localised_description_idrinth_dilemma_empire_THIRD	Preguntaste a la erudita sobre Idrinth, aprendiendo sobre su larga guerra contra el caos.	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_FIRST	Ahuyentaste al mensajero, facilitando la vida de Idrinth.	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_SECOND	Confrontaste a Idrinth sobre su pasado, dejándolo de humor más sombrío.	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_THIRD	Idrinth se encontró con el mensajero de su antiguo pueblo, aprendiendo sobre los objetivos actuales de su familia. Parece de humor más ligero ahora.	false
effect_bundles_localised_description_idrinth_dilemma_kislev_FIRST	Entregaste al intruso a Idrinth para interrogarlo.	false
effect_bundles_localised_description_idrinth_dilemma_kislev_SECOND	Mataste al intruso, enfureciendo a la madre patria, pero previniendo algo peor.	false
effect_bundles_localised_description_idrinth_dilemma_kislev_THIRD	El intruso se unió a ti, haciendo que Idrinth se sienta profundamente incómodo.	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_FIRST	Acusaste a Idrinth de asesinar y drenar al sirviente. Está tratando de demostrar su inocencia.	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_SECOND	Preguntaste a Idrinth sobre el pergamino, aprendiendo sobre algunas teorías de magia antigua.	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_THIRD	Decidiste buscar al asesino en otro lugar y tus tropas ahora están en mayor alerta.	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_FIRST	Idrinth y la guardabosques se encontraron y llegaron a las manos sobre lo que él hizo a su aldea.	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_SECOND	Escondiste a Idrinth de la guardabosques hasta que se fue. Aunque está agradecido, oscureció su humor.	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_THIRD	Confrontaste a Idrinth sobre la guardabosques, haciéndole pensar sobre su pasado y presente.	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_FIRST	Preguntaste a los enanos sobre el elfo, lo que te llevó a sospechar más de Idrinth. Él a su vez está menos cómodo cerca de ti, que intentaste escarbar en su pasado.	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_SECOND	Intercambiaste información sobre las Guerras Vampíricas, con información de primera mano compartida contigo.	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_THIRD	Presentaste a Idrinth ante los enanos. No fue exactamente como pretendías, con ellos intentando atacar al monstruo en que se había convertido.	false
effect_bundles_localised_title_idrinth_dilemma_empire_FIRST	Discutieron guerras pasadas	false
effect_bundles_localised_title_idrinth_dilemma_empire_SECOND	Discutieron Magia	false
effect_bundles_localised_title_idrinth_dilemma_empire_THIRD	Le preguntó sobre Idrinth	false
effect_bundles_localised_title_idrinth_dilemma_high_elves_FIRST	Mensajero ahuyentado	false
effect_bundles_localised_title_idrinth_dilemma_high_elves_SECOND	Idrinth confrontado	false
effect_bundles_localised_title_idrinth_dilemma_high_elves_THIRD	Mensajero encontrado	false
effect_bundles_localised_title_idrinth_dilemma_kislev_FIRST	Intruso entregado a Idrinth	false
effect_bundles_localised_title_idrinth_dilemma_kislev_SECOND	Intruso ejecutado	false
effect_bundles_localised_title_idrinth_dilemma_kislev_THIRD	Intruso se unió	false
effect_bundles_localised_title_idrinth_dilemma_vampire_counts_FIRST	Idrinth acusado	false
effect_bundles_localised_title_idrinth_dilemma_vampire_counts_SECOND	Preguntó sobre el pergamino	false
effect_bundles_localised_title_idrinth_dilemma_vampire_counts_THIRD	Buscó asesino en otro lugar	false
effect_bundles_localised_title_idrinth_dilemma_wood_elves_FIRST	Guardabosques encontrada	false
effect_bundles_localised_title_idrinth_dilemma_wood_elves_SECOND	Idrinth escondido	false
effect_bundles_localised_title_idrinth_dilemma_wood_elves_THIRD	Idrinth confrontado	false
effect_bundles_localised_title_idrinth_dilemma_dwarves_FIRST	Preguntó a enanos sobre el elfo	false
