key	text	tooltip
#Loc;1;text/idrinth_building_short_description_texts__.tr.loc.tsv/idrinth_building_short_description_texts__.tr.loc		
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_0	Haydutlar, sürgünler ve maceracılardan oluşan bir elf topluluğu için bir şapel. Bu elfler, hayatlarını nasıl yaşayacaklarına dair bir örnek olarak Idrinth'in izinden giderler.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_asuryan	Haydutlar, sürgünler ve maceracılardan oluşan bir elf topluluğu için bir şapel. Bu elfler, Asuryan'ın adına hayatlarını nasıl yaşayacaklarına dair bir örnek olarak Idrinth'in izinden giderler.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_kurnous	Haydutlar, sürgünler ve maceracılardan oluşan bir elf topluluğu için bir şapel. Bu elfler, Kurnous'un adına hayatlarını nasıl yaşayacaklarına dair bir örnek olarak Idrinth'in izinden giderler.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_khaine	Haydutlar, sürgünler ve maceracılardan oluşan bir elf topluluğu için bir şapel. Bu elfler, Khaine'in adına hayatlarını nasıl yaşayacaklarına dair bir örnek olarak Idrinth'in izinden giderler.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_asuryan	Haydutlar, sürgünler ve maceracılardan oluşan bir elf topluluğu için büyük bir şapel. Bu elfler, Asuryan'ın adına hayatlarını nasıl yaşayacaklarına dair bir örnek olarak Idrinth'in izinden giderler.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_kurnous	Haydutlar, sürgünler ve maceracılardan oluşan bir elf topluluğu için büyük bir şapel. Bu elfler, Kurnous'un adına hayatlarını nasıl yaşayacaklarına dair bir örnek olarak Idrinth'in izinden giderler.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_khaine	Haydutlar, sürgünler ve maceracılardan oluşan bir elf topluluğu için büyük bir şapel. Bu elfler, Khaine'in adına hayatlarını nasıl yaşayacaklarına dair bir örnek olarak Idrinth'in izinden giderler.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_0_beasts	Hem insan komşuların hem de vahşi doğanın hayvanlarına yardım eden veterinerlerin küçük bir kulübesi.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_beasts	Hem insan komşuların hem de vahşi doğanın hayvanlarına yardım eden veterinerlerin bir evi.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_beasts	Hem insan komşuların hem de vahşi doğanın hayvanlarına yardım eden veterinerlerin büyük bir kompleksi.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	Tüm elf diyarlarıyla daha doğrudan iletişim sağlayan küçük bir elf sosyal yardım merkezi.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	Tüm elf diyarlarıyla daha doğrudan iletişim sağlayan bir elf sosyal yardım merkezi.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_altar	Şapeller için hem normal sunaklar hem de savaş sunakları üreten bir bina.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_0	Idrinth'in kendi varlığıyla bir arada tutulan Thalui Şapeli kuvvetleri ve müttefiklerinin küçük bir kampı.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_0	Temel rahatsızlıklara karşı yardım edebilecek eğitimli bir şifacının yaşadığı tek bir araba.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_0	Silah ve zırh tedarikini ve maaş ödemelerini organize eden bir levazımcı.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_0	Bir orduyu takip etmenin faydalarını gören sıradan bir mal tüccarının tek bir arabası.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_1	Kaos nefreti ve Idrinth'in kendi varlığıyla bir arada tutulan Thalui Şapeli kuvvetleri ve müttefiklerinin bir kampı.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_1	Çoğu rahatsızlıkla başa çıkabilen bir usta şifacı ve çıraklarının araba grubu.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_1	Kampı hem sivil hem de askeri konularda organize etmeye yardımcı olan küçük bir kamp görevlileri konseyi.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_1	Orduyu finanse etmeye yardım eden ve kendileri için de güzel bir kar eden tüccarların birden fazla arabası.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_2	Kaos nefreti, fırsatçılık ve Idrinth'in kendi varlığıyla bir arada tutulan Thalui Şapeli kuvvetleri ve müttefiklerinin büyük bir kampı.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_2	Birlikte öğrenci yetiştiren ve ihtiyacı olanları iyileştiren birden fazla usta şifacıyı barındıran bir araba grubu.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_2	Kampı görevliler ve kararlar aracılığıyla yöneten, Idrinth liderliğindeki kamp görevlileri konseyi.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_2	Kampı ana üs olarak kullanan, elf mallarını çeşitli insanlara ulaştıran ve finansal olarak fayda sağlayan organize bir tüccarlar loncası.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_artisan_quarters_1	Şapelin ticaret ve gelir elde etmesini sağlayan elf el sanatları üreten küçük bir atölye.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_artisan_quarters_2	Şapelin ticaret ve gelir elde etmesini sağlayan elf el sanatları ve büyülü eşyalar üreten büyük bir atölye.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_tavern_0	Hem şapel kuvvetlerinin hem de müttefiklerin uzun günlerden dinlenmesini sağlayan küçük bir taverna.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_tavern_1	Hem şapel kuvvetlerinin hem de müttefiklerin uzun günlerden dinlenmesini sağlayan bir taverna.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_tavern_2	Hem şapel kuvvetlerinin hem de müttefiklerin uzun günlerden dinlenmesini sağlayan büyük bir taverna.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_library_2	Elf bilgisini toplayan ve daha fazlasını araştıran bir kütüphane.	false
