key	text	tooltip
#Loc;1;text/idrinth_building_short_description_texts__it.loc.tsv/idrinth_building_short_description_texts__it.loc		
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_0	Una cappella per una comunità di furfanti, esuli e avventurieri di stirpe elfica. Questi elfi seguono le orme di Idrinth come esempio di come vivere le loro vite.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_asuryan	Una cappella per una comunità di furfanti, esuli e avventurieri di stirpe elfica. Questi elfi seguono le orme di Idrinth come esempio di come vivere le loro vite nel nome di Asuryan.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_kurnous	Una cappella per una comunità di furfanti, esuli e avventurieri di stirpe elfica. Questi elfi seguono le orme di Idrinth come esempio di come vivere le loro vite nel nome di Kurnous.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_khaine	Una cappella per una comunità di furfanti, esuli e avventurieri di stirpe elfica. Questi elfi seguono le orme di Idrinth come esempio di come vivere le loro vite nel nome di Khaine.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_asuryan	Una grande cappella per una comunità di furfanti, esuli e avventurieri di stirpe elfica. Questi elfi seguono le orme di Idrinth come esempio di come vivere le loro vite nel nome di Asuryan.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_kurnous	Una grande cappella per una comunità di furfanti, esuli e avventurieri di stirpe elfica. Questi elfi seguono le orme di Idrinth come esempio di come vivere le loro vite nel nome di Kurnous.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_khaine	Una grande cappella per una comunità di furfanti, esuli e avventurieri di stirpe elfica. Questi elfi seguono le orme di Idrinth come esempio di come vivere le loro vite nel nome di Khaine.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_0_beasts	Una piccola capanna di veterinari che aiutano gli animali sia dei vicini umani che della natura selvaggia.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_beasts	Una casa di veterinari che aiutano gli animali sia dei vicini umani che della natura selvaggia.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_beasts	Un grande complesso di veterinari che aiutano gli animali sia dei vicini umani che della natura selvaggia.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	Una piccola ambasciata elfica, che permette una comunicazione più diretta con tutti i reami elfici.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	Un'ambasciata elfica, che permette una comunicazione più diretta con tutti i reami elfici.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_altar	Un edificio che produce sia altari normali che altari da guerra per le cappelle.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_0	Un piccolo campo delle forze della Cappella Thaluiana e dei loro alleati, tenuto insieme dalla presenza stessa di Idrinth.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_0	Un singolo carro abitato da un guaritore addestrato che può aiutare con disturbi di base.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_0	Un quartiermastro che organizza l'approvvigionamento di armi e armature oltre al pagamento degli stipendi.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_0	Un singolo carro di un commerciante di beni comuni, che vede vantaggi nel seguire un esercito.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_1	Un campo delle forze della Cappella Thaluiana e dei loro alleati, tenuto insieme dal loro odio per il caos e dalla presenza stessa di Idrinth.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_1	Un gruppo di carri di un maestro guaritore e dei suoi apprendisti, in grado di trattare la maggior parte dei disturbi.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_1	Un piccolo consiglio di funzionari del campo che aiutano a organizzare il campo sia in questioni civili che militari.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_1	Diversi carri di mercanti, che aiutano a finanziare l'esercito e allo stesso tempo realizzano un buon profitto per se stessi.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_2	Un grande campo delle forze della Cappella Thaluiana e dei loro alleati, tenuto insieme dal loro odio per il caos, dall'opportunismo e dalla presenza stessa di Idrinth.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_2	Un gruppo di carri contenenti diversi maestri guaritori che addestrano studenti insieme e curano chi ha bisogno.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_2	Un consiglio dei funzionari del campo guidato da Idrinth che governa il campo attraverso ufficiali e giudizi.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_2	Una gilda organizzata di mercanti, che usano il campo come loro base, portando beni elfici a una vasta varietà di persone e traendone beneficio economico.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_artisan_quarters_1	Un piccolo laboratorio che produce manufatti elfici, permettendo alla cappella di generare commercio e reddito.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_artisan_quarters_2	Un grande laboratorio che produce manufatti elfici e oggetti magici, permettendo alla cappella di generare commercio e reddito.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_tavern_0	Una piccola taverna, che permette sia alle forze della cappella che agli alleati di riposarsi dalle lunghe giornate.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_tavern_1	Una taverna, che permette sia alle forze della cappella che agli alleati di riposarsi dalle lunghe giornate.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_tavern_2	Una grande taverna, che permette sia alle forze della cappella che agli alleati di riposarsi dalle lunghe giornate.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_library_2	Una biblioteca che raccoglie la conoscenza elfica e ne ricerca di nuova.	false
