key	text	tooltip
#Loc;1;text/idrinth_missions__.zh.loc.tsv/idrinth_missions__.zh.loc		
missions_localised_description_idrinth_unlock_wh2_main_hef_high_elves	有傳言說，如果你與混沌勢力作戰，可以引起一位強大助手的注意。據說一位陌生人願意與你並肩作戰，只要你能證明你願意戰鬥和流血...	false
missions_localised_title_idrinth_unlock_wh2_main_hef_high_elves	對抗混沌的陌生人	false
missions_localised_title_idrinth_unlock_wh_main_vmp_vampire_counts	對抗混沌的陌生人	false
missions_localised_title_idrinth_unlock_wh_main_emp_empire	對抗混沌的陌生人	false
missions_localised_title_idrinth_unlock_wh_dlc05_wef_wood_elves	對抗混沌的陌生人	false
missions_localised_title_idrinth_unlock_wh3_main_ksl_kislev	對抗混沌的陌生人	false
missions_localised_description_idrinth_unlock_wh_main_vmp_vampire_counts	有傳言說，如果你與混沌勢力作戰，可以引起一位強大助手的注意。據說一位陌生人願意與你並肩作戰，只要你能證明你願意戰鬥和流血...	false
missions_localised_description_idrinth_unlock_wh_main_emp_empire	有傳言說，如果你與混沌勢力作戰，可以引起一位強大助手的注意。據說一位陌生人願意與你並肩作戰，只要你能證明你願意戰鬥和流血...	false
missions_localised_description_idrinth_unlock_wh_dlc05_wef_wood_elves	有傳言說，如果你與混沌勢力作戰，可以引起一位強大助手的注意。據說一位陌生人願意與你並肩作戰，只要你能證明你願意戰鬥和流血...	false
missions_localised_description_idrinth_unlock_wh3_main_ksl_kislev	有傳言說，如果你與混沌勢力作戰，可以引起一位強大助手的注意。據說一位陌生人願意與你並肩作戰，只要你能證明你願意戰鬥和流血...	false
missions_localised_mission_completed_text_idrinth_unlock_wh2_main_hef_high_elves	接受你的金幣後，這位陌生人自我介紹為一位名叫伊德林斯的阿蘇爾同胞。脫下他的旅行長袍，你看到一位學術大師飽經戰鬥的盔甲，配套的巨劍和一把金屬弓，以及冷峻的眼神暗示著即將發生的暴行。	false
missions_localised_mission_completed_text_idrinth_unlock_wh_main_vmp_vampire_counts	這位陌生人放下兜帽，露出精靈的面容。我不是毀滅的朋友，但我們的敵人逼我出手。他一邊把金幣收入囊中一邊說道，多年後回到危難中的家人身邊是正確的，無論那個家人是誰。你不同意嗎？	false
missions_localised_mission_completed_text_idrinth_unlock_wh_main_emp_empire	我曾與信奉烏爾里克或西格瑪的戰士並肩戰鬥、流血。我們有共同的敵人，他一邊脫下旅行長袍一邊說道，我期待與你們一起將他們擊退。為了世界的改善而分享我的知識。他冷漠地看著祈禱中的人們，然後將注意力轉回將軍和他的守衛。	false
missions_localised_mission_completed_text_idrinth_unlock_wh_dlc05_wef_wood_elves	我期待與森林的獵人並肩作戰，表親，這位阿蘇爾用友好的語氣說道，同時收拾著他的報酬和旅行斗篷。我可能不如你們射得準，但我不會拖你們後腿。一絲略帶玩味的微笑在他蒼白的嘴唇上浮現，然後消失。讓我們一起進行一場將被傳頌數個世紀的狩獵吧！	false
missions_localised_mission_completed_text_idrinth_unlock_wh3_main_ksl_kislev	這位陌生人在收到報酬後脫下外衣，露出他旅行長袍下的精靈面孔和精靈武器。我叫伊德林斯，我與我們的敵人戰鬥的時間比你們大多數人活著的時間還要長。我很樂意與部隊一起訓練並教導他們。一絲淡淡的微笑在他蒼白的嘴唇上浮現，然後在他那張不老的臉上消失。	false
missions_localised_title_idrinth_unlock_wh2_main_def_dark_elves	對抗混沌的陌生人	false
missions_localised_title_idrinth_unlock_mixer_nag_nagash	對抗混沌的陌生人	false
missions_localised_title_idrinth_unlock_wh2_dlc11_cst_vampire_coast	對抗混沌的陌生人	false
missions_localised_title_idrinth_unlock_wh_main_brt_bretonnia	對抗混沌的陌生人	false
missions_localised_title_idrinth_unlock_wh3_main_cth_cathay	對抗混沌的陌生人	false
missions_localised_description_idrinth_unlock_wh2_main_def_dark_elves	有傳言說，如果你與混沌勢力作戰，可以引起一位強大助手的注意。據說一位陌生人願意與你並肩作戰，只要你能證明你願意戰鬥和流血...	false
missions_localised_description_idrinth_unlock_mixer_nag_nagash	有傳言說，如果你與混沌勢力作戰，可以引起一位強大助手的注意。據說一位陌生人願意與你並肩作戰，只要你能證明你願意戰鬥和流血...	false
missions_localised_description_idrinth_unlock_wh2_dlc11_cst_vampire_coast	有傳言說，如果你與混沌勢力作戰，可以引起一位強大助手的注意。據說一位陌生人願意與你並肩作戰，只要你能證明你願意戰鬥和流血...	false
missions_localised_description_idrinth_unlock_wh_main_brt_bretonnia	有傳言說，如果你與混沌勢力作戰，可以引起一位強大助手的注意。據說一位陌生人願意與你並肩作戰，只要你能證明你願意戰鬥和流血...	false
missions_localised_description_idrinth_unlock_wh3_main_cth_cathay	有傳言說，如果你與混沌勢力作戰，可以引起一位強大助手的注意。據說一位陌生人願意與你並肩作戰，只要你能證明你願意戰鬥和流血...	false
missions_localised_mission_completed_text_idrinth_unlock_wh2_main_def_dark_elves	這位陌生人拉下兜帽，露出明顯是阿蘇爾的面容——但他的眼睛沒有他們典型的輕蔑。「表親，」他說，這個詞既不帶嘲弄也不帶溫暖。「我不關心古老的恩怨。混沌吞噬德魯奇和阿蘇爾一樣，而我已經學會生存需要……靈活性。」一絲冷笑掠過他蒼白的嘴唇。「你比大多數人更懂得實用主義。我們把它用起來如何？」	false
missions_localised_mission_completed_text_idrinth_unlock_mixer_nag_nagash	這位陌生人的兜帽落下，露出一張未被時間觸及的精靈面孔。「我知道你們服務的是誰，」他平靜地說，毫不退縮地與亡靈對視。「我也知道我是什麼。我們不需要假裝。」他熟練地調整著背上的巨劍。「納迦什的敵人是混沌的僕從。目前，這種目的的一致就足夠了。」他蒼白的嘴唇扭成一種類似陰暗玩味的表情。「偉大的死靈法師最終會收集一切。我只是選擇條件。」	false
missions_localised_mission_completed_text_idrinth_unlock_wh2_dlc11_cst_vampire_coast	這位陌生人脫下沾滿鹽漬的斗篷，露出下面的精靈面容和古老的盔甲。「我航行過比這更黑暗的海域，」他說著，毫無厭惡地看著蹣跚的船員。「血就是血，無論是在陸地上還是水上奪取的。」他拿出裝報酬的袋子，沉思地掂量著。「你們狩獵，你們劫掠，你們生存。我尊重這些。」一絲了然的微笑掠過他蒼白的臉龐。「而且我懷疑你們的船長們理解——永生改變了一個人對……一切的看法。」	false
missions_localised_mission_completed_text_idrinth_unlock_wh_main_brt_bretonnia	這位陌生人以練達的優雅脫下旅行斗篷，露出下面的精靈盔甲。「我曾與騎士並肩服役過，」他說，以宮廷式的精確鞠躬。「榮譽與責任超越種族的界限。你的聖女保護這片土地，我願意看到它們免受吞噬一切的黑暗的侵害。」他蒼白的面容保持平靜，儘管他蒼白的嘴唇沒有溫暖。「讓我們一起騎馬對抗我們共同的敵人。」	false
missions_localised_mission_completed_text_idrinth_unlock_wh3_main_cth_cathay	這位身穿長袍的人物以出人意料的禮節鞠躬，然後挺直身子，露出旅行服裝下的精靈面容。「我曾在遠古時代走過你們的土地，」他說，聲音沉穩而平靜。「長城阻擋著我深知的恐怖。必須維持對抗邪惡力量的平衡。」他那不老的眼睛以學者的興趣研究著震旦官員。「我提供跨越千年的知識。也許我們可以互相學習。」	false
