key	text	tooltip
#Loc;1;text/idrinth__cz.loc.tsv/idrinth__cz.loc		
missions_localised_description_idrinth_unlock_wh2_main_hef_high_elves	Šeptá se, že můžeš upoutat pozornost mocné pomoci, pokud bojuješ proti silám chaosu. Říká se, že cizinec je ochoten bojovat po tvém boku, pokud prokážeš svou ochotu bojovat a krvácet...	false
missions_localised_title_idrinth_unlock_wh2_main_hef_high_elves	Cizinec proti Chaosu	false
missions_localised_title_idrinth_unlock_wh_main_vmp_vampire_counts	Cizinec proti Chaosu	false
missions_localised_title_idrinth_unlock_wh_main_emp_empire	Cizinec proti Chaosu	false
missions_localised_title_idrinth_unlock_wh_dlc05_wef_wood_elves	Cizinec proti Chaosu	false
missions_localised_title_idrinth_unlock_wh3_main_ksl_kislev	Cizinec proti Chaosu	false
missions_localised_description_idrinth_unlock_wh_main_vmp_vampire_counts	Šeptá se, že můžeš upoutat pozornost mocné pomoci, pokud bojuješ proti silám chaosu. Říká se, že cizinec je ochoten bojovat po tvém boku, pokud prokážeš svou ochotu bojovat a krvácet...	false
missions_localised_description_idrinth_unlock_wh_main_emp_empire	Šeptá se, že můžeš upoutat pozornost mocné pomoci, pokud bojuješ proti silám chaosu. Říká se, že cizinec je ochoten bojovat po tvém boku, pokud prokážeš svou ochotu bojovat a krvácet...	false
missions_localised_description_idrinth_unlock_wh_dlc05_wef_wood_elves	Šeptá se, že můžeš upoutat pozornost mocné pomoci, pokud bojuješ proti silám chaosu. Říká se, že cizinec je ochoten bojovat po tvém boku, pokud prokážeš svou ochotu bojovat a krvácet...	false
missions_localised_description_idrinth_unlock_wh3_main_ksl_kislev	Šeptá se, že můžeš upoutat pozornost mocné pomoci, pokud bojuješ proti silám chaosu. Říká se, že cizinec je ochoten bojovat po tvém boku, pokud prokážeš svou ochotu bojovat a krvácet...	false
missions_localised_mission_completed_text_idrinth_unlock_wh2_main_hef_high_elves	Po přijetí tvé mince se cizinec představí jako bratr Asur jménem Idrinth. Když si sundá cestovní roucha, vidíš bitvami opotřebovanou zbroj mistra znalostí, odpovídající obouručný meč a kovový luk poblíž stoických očí naznačujících brutalitu, která teprve přijde.	false
missions_localised_mission_completed_text_idrinth_unlock_wh_main_vmp_vampire_counts	Cizinec shodí kapuci a odhalí elfí rysy. Nejsem přítelem zkázy, ale naši nepřátelé mě donutili. Schovává své mince a prohlašuje: Vrátit se k rodině po mnoha letech, když je v nebezpečí, je správné, bez ohledu na to, kdo ta rodina je. Nesouhlasíš?	false
missions_localised_mission_completed_text_idrinth_unlock_wh_main_emp_empire	Bojoval a krvácel jsem s válečníky věřícími v Ulrika nebo Sigmara. Máme stejné nepřátele, prohlašuje, zatímco si sundává cestovní roucha, a těším se, že je s vámi zatlačíme zpět. Sdílím své znalosti pro zlepšení světa. Jeho oči se chladně dívají na modlící se lidi, než vrátí svou pozornost generálovi a jeho stráži.	false
missions_localised_mission_completed_text_idrinth_unlock_wh_dlc05_wef_wood_elves	Těším se na boj po boku lovců lesů, bratranče, prohlašuje Asur přátelským tónem, zatímco balí svou platbu a cestovní plášť. Možná nejsem tak skvělý střelec jako vy, ale nezpomalím vás. Lehce pobavený úsměv hraje kolem jeho bezkrevných rtů, než zmizí. Vydejme se na lov, o kterém se bude vyprávět ještě po staletí!	false
missions_localised_mission_completed_text_idrinth_unlock_wh3_main_ksl_kislev	Cizinec se svlékne poté, co byl zaplacen, a odhalí elfí tvář a elfí zbraně pod cestovním rouchem. Jmenuji se Idrinth, bojuji proti našim nepřátelům déle, než většina z vás žije. Rád bych cvičil s armádou a učil ji. Lehký úsměv hraje kolem jeho bezkrevných rtů, než zmizí v bezčasové tváři.	false
missions_localised_title_idrinth_unlock_wh2_main_def_dark_elves	Cizinec proti Chaosu	false
missions_localised_title_idrinth_unlock_mixer_nag_nagash	Cizinec proti Chaosu	false
missions_localised_title_idrinth_unlock_wh2_dlc11_cst_vampire_coast	Cizinec proti Chaosu	false
missions_localised_title_idrinth_unlock_wh_main_brt_bretonnia	Cizinec proti Chaosu	false
missions_localised_title_idrinth_unlock_wh3_main_cth_cathay	Cizinec proti Chaosu	false
missions_localised_description_idrinth_unlock_wh2_main_def_dark_elves	Šeptá se, že můžeš upoutat pozornost mocné pomoci, pokud bojuješ proti silám chaosu. Říká se, že cizinec je ochoten bojovat po tvém boku, pokud prokážeš svou ochotu bojovat a krvácet...	false
missions_localised_description_idrinth_unlock_mixer_nag_nagash	Šeptá se, že můžeš upoutat pozornost mocné pomoci, pokud bojuješ proti silám chaosu. Říká se, že cizinec je ochoten bojovat po tvém boku, pokud prokážeš svou ochotu bojovat a krvácet...	false
missions_localised_description_idrinth_unlock_wh2_dlc11_cst_vampire_coast	Šeptá se, že můžeš upoutat pozornost mocné pomoci, pokud bojuješ proti silám chaosu. Říká se, že cizinec je ochoten bojovat po tvém boku, pokud prokážeš svou ochotu bojovat a krvácet...	false
missions_localised_description_idrinth_unlock_wh_main_brt_bretonnia	Šeptá se, že můžeš upoutat pozornost mocné pomoci, pokud bojuješ proti silám chaosu. Říká se, že cizinec je ochoten bojovat po tvém boku, pokud prokážeš svou ochotu bojovat a krvácet...	false
missions_localised_description_idrinth_unlock_wh3_main_cth_cathay	Šeptá se, že můžeš upoutat pozornost mocné pomoci, pokud bojuješ proti silám chaosu. Říká se, že cizinec je ochoten bojovat po tvém boku, pokud prokážeš svou ochotu bojovat a krvácet...	false
missions_localised_mission_completed_text_idrinth_unlock_wh2_main_def_dark_elves	Cizinec stahuje kapuci a odhaluje rysy nepopiratelně Asur—přesto jeho oči nedrží nic z jejich typického opovržení. "Bratranče," říká, slovo nenese ani výsměch, ani vřelost. "Nestarám se o prastaré křivdy. Chaos pohlcuje Druchii i Asur, a naučil jsem se, že přežití vyžaduje... flexibilitu." Bezradostný úsměv přechází přes jeho bezkrevné rty. "Rozumíte pragmatismu lépe než většina. Využijeme ho?"	false
missions_localised_mission_completed_text_idrinth_unlock_mixer_nag_nagash	Kapuce cizince padá a odhaluje elfí tvář nedotčenou časem. "Vím, čemu sloužíte," říká ploše, setkávaje se s pohledem nemrtvých bez mrknutí. "A vím, čím jsem. Nemusíme předstírat jinak." Upravuje obouručný meč na zádech se známou lehkostí. "Nagashovi nepřátelé jsou služebníky Chaosu. Prozatím toto sladění účelu stačí." Jeho bezkrevné rty se zkroutí v něco připomínajícího temné pobavení. "Velký nekromant nakonec sbírá všechny věci. Já si pouze vybírám podmínky."	false
