key	text	tooltip
#Loc;1;text/idrinth__cn.loc.tsv/idrinth__cn.loc		
missions_localised_description_idrinth_unlock_wh2_main_hef_high_elves	有传言说，如果你与混沌势力作战，可以引起一位强大助手的注意。据说有一位陌生人愿意站在你这边战斗，只要你能证明你愿意为此战斗和流血……	false
missions_localised_title_idrinth_unlock_wh2_main_hef_high_elves	对抗混沌的陌生人	false
missions_localised_title_idrinth_unlock_wh_main_vmp_vampire_counts	对抗混沌的陌生人	false
missions_localised_title_idrinth_unlock_wh_main_emp_empire	对抗混沌的陌生人	false
missions_localised_title_idrinth_unlock_wh_dlc05_wef_wood_elves	对抗混沌的陌生人	false
missions_localised_title_idrinth_unlock_wh3_main_ksl_kislev	对抗混沌的陌生人	false
missions_localised_description_idrinth_unlock_wh_main_vmp_vampire_counts	有传言说，如果你与混沌势力作战，可以引起一位强大助手的注意。据说有一位陌生人愿意站在你这边战斗，只要你能证明你愿意为此战斗和流血……	false
missions_localised_description_idrinth_unlock_wh_main_emp_empire	有传言说，如果你与混沌势力作战，可以引起一位强大助手的注意。据说有一位陌生人愿意站在你这边战斗，只要你能证明你愿意为此战斗和流血……	false
missions_localised_description_idrinth_unlock_wh_dlc05_wef_wood_elves	有传言说，如果你与混沌势力作战，可以引起一位强大助手的注意。据说有一位陌生人愿意站在你这边战斗，只要你能证明你愿意为此战斗和流血……	false
missions_localised_description_idrinth_unlock_wh3_main_ksl_kislev	有传言说，如果你与混沌势力作战，可以引起一位强大助手的注意。据说有一位陌生人愿意站在你这边战斗，只要你能证明你愿意为此战斗和流血……	false
missions_localised_mission_completed_text_idrinth_unlock_wh2_main_hef_high_elves	收下你的金币后，陌生人自我介绍为同族阿苏尔，名叫 Idrinth。脱下旅行披风后，你看到一套饱经战火的学识大师盔甲、一把配套的巨剑和一把金属弓，靠近冷峻的双眼，暗示着尚未发生的残酷。	false
missions_localised_mission_completed_text_idrinth_unlock_wh_main_vmp_vampire_counts	陌生人放下兜帽，露出精灵特征。"我不是毁灭的朋友，但我们的敌人逼迫了我。"他一边将金币收入囊中一边说道，"在家人处于危险时回归他们身边是正确的，无论那个家人是谁。你同意吗？"	false
missions_localised_mission_completed_text_idrinth_unlock_wh_main_emp_empire	我曾与信仰乌里克或西格玛的战士并肩战斗和流血。我们有共同的敌人，他一边脱下旅行披风一边说，"我期待与你们一起将他们击退。为世界的美好分享我的知识。"他冷冷地看了看祈祷中的人类，然后将注意力转回将军和他的卫兵。	false
missions_localised_mission_completed_text_idrinth_unlock_wh_dlc05_wef_wood_elves	我期待与林中猎人并肩作战，表亲，这位阿苏尔用友好的语气说道，同时收拾他的报酬和旅行斗篷。"我的射术可能不如你们，但我不会拖你们后腿。"他苍白的嘴唇上浮现出一丝淡淡的笑意，随即消失。"让我们进行一场将被传颂数世纪的狩猎！"	false
missions_localised_mission_completed_text_idrinth_unlock_wh3_main_ksl_kislev	收到报酬后，陌生人脱下旅行服，露出旅行袍下精灵的面容和精灵武器。"我叫 Idrinth，我与敌人战斗的时间比你们大多数人活得还长。我很乐意与部队一起练习并教导他们。"一丝淡淡的笑意浮现在他苍白的嘴唇上，随即在他永不老去的脸上消失。	false
missions_localised_title_idrinth_unlock_wh2_main_def_dark_elves	对抗混沌的陌生人	false
missions_localised_title_idrinth_unlock_mixer_nag_nagash	对抗混沌的陌生人	false
missions_localised_title_idrinth_unlock_wh2_dlc11_cst_vampire_coast	对抗混沌的陌生人	false
missions_localised_title_idrinth_unlock_wh_main_brt_bretonnia	对抗混沌的陌生人	false
missions_localised_title_idrinth_unlock_wh3_main_cth_cathay	对抗混沌的陌生人	false
missions_localised_description_idrinth_unlock_wh2_main_def_dark_elves	有传言说，如果你与混沌势力作战，可以引起一位强大助手的注意。据说有一位陌生人愿意站在你这边战斗，只要你能证明你愿意为此战斗和流血……	false
missions_localised_description_idrinth_unlock_mixer_nag_nagash	有传言说，如果你与混沌势力作战，可以引起一位强大助手的注意。据说有一位陌生人愿意站在你这边战斗，只要你能证明你愿意为此战斗和流血……	false
missions_localised_description_idrinth_unlock_wh2_dlc11_cst_vampire_coast	有传言说，如果你与混沌势力作战，可以引起一位强大助手的注意。据说有一位陌生人愿意站在你这边战斗，只要你能证明你愿意为此战斗和流血……	false
missions_localised_description_idrinth_unlock_wh_main_brt_bretonnia	有传言说，如果你与混沌势力作战，可以引起一位强大助手的注意。据说有一位陌生人愿意站在你这边战斗，只要你能证明你愿意为此战斗和流血……	false
missions_localised_description_idrinth_unlock_wh3_main_cth_cathay	有传言说，如果你与混沌势力作战，可以引起一位强大助手的注意。据说有一位陌生人愿意站在你这边战斗，只要你能证明你愿意为此战斗和流血……	false
missions_localised_mission_completed_text_idrinth_unlock_wh2_main_def_dark_elves	陌生人拉下兜帽，露出明显的阿苏尔特征——但他的眼中没有他们典型的蔑视。"表亲，"他说道，这个词既不带嘲讽也不带温暖。"我不在乎古老的仇恨。混沌吞噬德鲁奇和阿苏尔，而我已经学会生存需要……灵活。"一丝冷笑浮现在他苍白的嘴唇上。"你比大多数人更懂务实。我们何不将它付诸实践？"	false
missions_localised_mission_completed_text_idrinth_unlock_mixer_nag_nagash	陌生人的兜帽落下，露出一张不受时间影响的精灵面孔。"我知道你侍奉谁，"他平静地说，毫不畏惧地直视亡灵的目光。"我也知道我是什么。我们无需假装。"他熟练地调整着背上的巨剑。"纳迦什的敌人就是混沌的仆从。目前，这种目标一致就足够了。"他苍白的嘴唇扭曲成类似黑色幽默的表情。"大死灵法师终将收集一切。我只是选择了条件。"	false
missions_localised_mission_completed_text_idrinth_unlock_wh2_dlc11_cst_vampire_coast	陌生人脱下沾满盐渍的斗篷，露出精灵特征和下面的古老盔甲。"我航行过比这更黑暗的海域，"他说着，不带厌恶地打量着蹒跚的船员。"血就是血，无论是在陆地上还是水上。"他掏出钱袋，若有所思地掂量着。"你们狩猎、劫掠、求生。我尊重这一点。"他苍白的脸上浮现出会心的微笑。"而且我想你们的船长们明白——永生改变了一个人对……一切的看法。"	false
missions_localised_mission_completed_text_idrinth_unlock_wh_main_brt_bretonnia	陌生人以优雅的动作脱下旅行斗篷，露出下面的精灵盔甲。"我曾与骑士并肩作战，"他说着，以宫廷礼仪微微点头。"荣誉和责任超越种族界限。你们的湖女守护着这片土地，而我愿意看到它们免受吞噬一切的黑暗。"他苍白的面容保持镇定，尽管他苍白的嘴唇没有流露出温暖。"让我们骑马对抗共同的敌人。"	false
missions_localised_mission_completed_text_idrinth_unlock_wh3_main_cth_cathay	披着袍子的身影以意外的礼节鞠躬，然后直起身来，露出旅行服下的精灵特征。"我曾在远古时代走过你们的土地，"他说，声音沉稳平静。"巨龙长城阻挡着我深知的恐怖。必须维持与毁灭之力的平衡。"他永不老去的眼睛以学者的兴趣审视着震旦官员。"我提供跨越千年的知识。也许我们可以互相学习。"	false
