key	text	tooltip
#Loc;1;text/idrinth_effect_bundles__.ru.loc.tsv/idrinth_effect_bundles__.ru.loc		
effect_bundles_localised_description_idrinth_dilemma_empire_FIRST	Учёную очень интересовали старые войны. Обсуждение с Идринтом привело её к открытию тактики, полезной и сейчас.	false
effect_bundles_localised_description_idrinth_dilemma_empire_SECOND	Учёная и Идринт обсудили магию, найдя небольшие улучшения для ваших магов.	false
effect_bundles_localised_description_idrinth_dilemma_empire_THIRD	Вы спросили учёную об Идринте, узнав о его долгой войне против хаоса.	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_FIRST	Вы прогнали посланника, облегчив жизнь Идринту.	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_SECOND	Вы противостояли Идринту насчёт его прошлого, оставив его в более мрачном настроении.	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_THIRD	Идринт встретил посланника от своего древнего народа, узнав о нынешних целях своей семьи. Теперь он кажется в более лёгком настроении.	false
effect_bundles_localised_description_idrinth_dilemma_kislev_FIRST	Вы передали нарушителя Идринту для допроса.	false
effect_bundles_localised_description_idrinth_dilemma_kislev_SECOND	Вы убили нарушителя, разгневав родину, но предотвратив худшее.	false
effect_bundles_localised_description_idrinth_dilemma_kislev_THIRD	Нарушитель присоединился к вам, что глубоко беспокоит Идринта.	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_FIRST	Вы обвинили Идринта в убийстве и обескровливании слуги. Он пытается доказать свою невиновность.	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_SECOND	Вы спросили Идринта о свитке, узнав о некоторых древних магических теориях.	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_THIRD	Вы решили искать убийцу в другом месте, и ваши войска теперь более бдительны.	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_FIRST	Идринт и следопыт встретились и подрались из-за того, что он сделал с её деревней.	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_SECOND	Вы спрятали Идринта от следопыта, пока она не ушла. Хотя он благодарен, это омрачило его настроение.	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_THIRD	Вы противостояли Идринту насчёт следопыта, заставив его задуматься о прошлом и настоящем.	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_FIRST	Вы спросили гномов об эльфе, что усилило ваши подозрения относительно Идринта. Он, в свою очередь, чувствует себя менее комфортно рядом с вами, кто пытался копаться в его прошлом.	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_SECOND	Вы обменялись информацией о Вампирских Войнах, получив сведения из первых рук.	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_THIRD	Вы представили Идринта гномам. Это пошло не так, как вы планировали — они попытались атаковать монстра, которым он стал.	false
effect_bundles_localised_title_idrinth_dilemma_empire_FIRST	Обсудили прошлые войны	false
effect_bundles_localised_title_idrinth_dilemma_empire_SECOND	Обсудили магию	false
effect_bundles_localised_title_idrinth_dilemma_empire_THIRD	Спросили её об Идринте	false
effect_bundles_localised_title_idrinth_dilemma_high_elves_FIRST	Посланник прогнан	false
