key	text	tooltip
#Loc;1;text/idrinth__ru.loc.tsv/idrinth__ru.loc		
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_0	Капелла для общины бродяг, изгнанников и искателей приключений эльфийского рода. Эти эльфы следуют по стопам Идринта как примеру того, как жить.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_asuryan	Капелла для общины бродяг, изгнанников и искателей приключений эльфийского рода. Эти эльфы следуют по стопам Идринта как примеру того, как жить во имя Асуриана.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_kurnous	Капелла для общины бродяг, изгнанников и искателей приключений эльфийского рода. Эти эльфы следуют по стопам Идринта как примеру того, как жить во имя Курноуса.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_khaine	Капелла для общины бродяг, изгнанников и искателей приключений эльфийского рода. Эти эльфы следуют по стопам Идринта как примеру того, как жить во имя Кхейна.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_asuryan	Великая капелла для общины бродяг, изгнанников и искателей приключений эльфийского рода. Эти эльфы следуют по стопам Идринта как примеру того, как жить во имя Асуриана.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_kurnous	Великая капелла для общины бродяг, изгнанников и искателей приключений эльфийского рода. Эти эльфы следуют по стопам Идринта как примеру того, как жить во имя Курноуса.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_khaine	Великая капелла для общины бродяг, изгнанников и искателей приключений эльфийского рода. Эти эльфы следуют по стопам Идринта как примеру того, как жить во имя Кхейна.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_0_beasts	Небольшая хижина ветеринаров, помогающих животным как соседей-людей, так и дикой природы.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_beasts	Дом ветеринаров, помогающих животным как соседей-людей, так и дикой природы.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_beasts	Большой комплекс ветеринаров, помогающих животным как соседей-людей, так и дикой природы.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	Небольшая эльфийская миссия, позволяющая более прямое общение со всеми эльфийскими королевствами.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	Эльфийская миссия, позволяющая более прямое общение со всеми эльфийскими королевствами.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_chapel_2_altar	Здание, создающее как обычные алтари, так и боевые алтари для капелл.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_0	Небольшой лагерь сил Талуианской Капеллы и их союзников, объединённый присутствием самого Идринта.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_0	Одна повозка обученного целителя, способного помочь при простых недугах.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_0	Интендант, организующий закупку оружия и доспехов, а также выплату жалования.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_0	Одна повозка торговца товарами общего потребления, видящего выгоду в следовании за армией.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_1	Лагерь сил Талуианской Капеллы и их союзников, объединённый их ненавистью к хаосу и присутствием самого Идринта.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_1	Группа повозок мастера-целителя и его учеников, способных справиться с большинством недугов.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_1	Небольшой совет служащих лагеря, помогающих организовать лагерь как в гражданских, так и в военных делах.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_1	Несколько повозок торговцев, помогающих финансировать армию и получающих неплохую прибыль.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_2	Большой лагерь сил Талуианской Капеллы и их союзников, объединённый их ненавистью к хаосу, выгодой и присутствием самого Идринта.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_healer_wagon_2	Группа повозок с несколькими мастерами-целителями, которые вместе обучают учеников и лечат нуждающихся.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_quartermaster_2	Совет служащих лагеря под руководством Идринта, управляющий лагерем через чиновников и суждения.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_horde_trader_2	Организованная гильдия торговцев, использующих лагерь как базу, доставляющих эльфийские товары разным народам и получающих финансовую выгоду.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_artisan_quarters_1	Небольшая мастерская, производящая эльфийские ремёсла, позволяющая капелле вести торговлю и получать доход.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_artisan_quarters_2	Большая мастерская, производящая эльфийские ремёсла и магические предметы, позволяющая капелле вести торговлю и получать доход.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_tavern_0	Небольшая таверна, позволяющая как силам капеллы, так и союзникам отдохнуть после долгих дней.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_tavern_1	Таверна, позволяющая как силам капеллы, так и союзникам отдохнуть после долгих дней.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_tavern_2	Большая таверна, позволяющая как силам капеллы, так и союзникам отдохнуть после долгих дней.	false
building_short_description_texts_short_description_idrinth_hev_high_elf_vampires_library_2	Библиотека, собирающая эльфийские знания и проводящая исследования.	false
