key	text	tooltip
#Loc;1;text/.fr/idrinth_effects__.fr.loc		
effects_description_idrinth_effect_agent_action_assist_army_training	Action [[col:yellow]]{{tr:agent_action_name_training}}[[/col]] : Le gain d'expérience des unités est augmenté de %+n% supplémentaire	false
effects_description_idrinth_effect_agent_action_enable_hinder_army_assault_units	Action [[col:yellow]]{{tr:agent_action_name_assault_units}}[[/col]] : %+n% de pertes supplémentaires infligées	false
effects_description_idrinth_effect_agent_action_enable_hinder_agent_assassinate	Action [[col:yellow]]{{tr:agent_action_name_assassinate}}[[/col]] : %+n% de chances de succès supplémentaires	false
effects_description_idrinth_effect_agent_action_enable_passive_spread_corruption_vmp	Action [[col:yellow]]{{tr:agent_action_name_spread_corruption}}[[/col]] : La corruption vampirique est augmentée de %+n supplémentaire	false
effects_description_idrinth_pooled_resource_khaine	Génère %+n Faveur de Khaine.	false
effects_description_idrinth_pooled_resource_kurnous	Génère %+n Faveur de Kurnous.	false
effects_description_idrinth_pooled_resource_asuryan	Génère %+n Faveur d'Asuryan.	false
effects_description_idrinth_effect_upkeep_idrinth	Entretien augmenté de %+n% pour Idrinth.	false
effects_description_idrinth_initiative_khaine	Suivre la voie de Khaine, le guerrier, vous permet de massacrer vos ennemis.	false
effects_description_idrinth_initiative_kurnous	Suivre la voie de Kurnous, le chasseur, fait de vous un meilleur chasseur.	false
effects_description_idrinth_initiative_asuryan	Suivre la voie d'Asuryan, le protecteur, vous protège.	false
effects_description_idrinth_chapel_khaine_charge	Khaine renforce votre détermination et fait d'Idrinth et des garnisons de chapelle des troupes de choc %+n%.	false
effects_description_idrinth_chapel_kurnous_range	Kurnous renforce votre arc et permet à Idrinth et aux garnisons de chapelle de tirer %+n% plus loin.	false
effects_description_idrinth_chapel_asuryan_ward_save	Asuryan renforce votre esprit, protégeant Idrinth et les garnisons de chapelle de %+n dégâts avec une barrière.	false
effects_description_idrinth_loremaster_lore_of_vampires	Réduit le coût, le temps de recharge et les chances de ratage de %+n% pour les sorts du domaine des vampires.	false
effects_description_idrinth_loremaster_lore_of_vampires_2	Increases range  by %+n% for lore of vampires spells.	false
effects_description_idrinth_loremaster_lore_of_shadows	Réduit le coût, le temps de recharge et les chances de ratage de %+n% pour les sorts du domaine des ombres.	false
effects_description_idrinth_loremaster_lore_of_shadows_2	Increases range  by %+n% for lore of shadows spells.	false
effects_description_idrinth_loremaster_lore_of_death	Réduit le coût, le temps de recharge et les chances de ratage de %+n% pour les sorts du domaine de la mort.	false
effects_description_idrinth_loremaster_lore_of_death_2	Increases range by %+n% for lore of death spells.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_weapon_strength	Force d'arme %+n% pour les prêtres.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_vigour_loss_reduction	Perte de vigueur %+n% pour les prêtres.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_speed	Vitesse %+n% pour les prêtres.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_range	Portée %+n% pour les prêtres.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_melee_defence	Défense en mêlée %+n pour les prêtres.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_melee_attack_pct	Attaque en mêlée %+n pour les prêtres.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_fire_resistance	Vulnérabilité au feu %+n% pour les prêtres.	false
effects_description_idrinth_priests_wh_main_effect_force_stat_charge_bonus_pct	Bonus de charge %+n% pour les prêtres.	false
effects_description_idrinth_priests_wh_main_effect_force_all_campaign_replenishment_rate	Renouvellement %+n% pour les prêtres.	false
effects_description_idrinth_priests_wh_main_effect_character_stat_physical_resistance	Résistance physique %+n% pour les prêtres.	false
effects_description_idrinth_priests_wh_main_effect_character_stat_missile_resistance	Résistance aux projectiles %+n% pour les prêtres.	false
effects_description_idrinth_priests_wh_main_effect_character_stat_missile_damage	Dégâts de projectile %+n% pour les prêtres.	false
effects_description_idrinth_priests_wh_main_effect_attribute_enable_causes_fear	Les prêtres causent la peur.	false
effects_description_idrinth_priests_wh_main_effect_ability_enable_the_hunger	Les prêtres ont une faim vampirique.	false
effects_description_idrinth_priests_wh_main_effect_ability_enable_invocation_of_nehek	Les prêtres connaissent l'Invocation de Nehek.	false
effects_description_idrinth_priests_wh2_dlc16_effect_unit_enable_attribute_undead	Les prêtres sont des morts-vivants.	false
effects_description_idrinth_successful_action_motivation	Les chances de succès, le coût et les chances de critique sont augmentés de %+n%.	false
effects_description_idrinth_ranger_knowledge_primary	Les elfes des Chapelles Thaluiennes peuvent tirer %+n% plus loin.	false
effects_description_idrinth_blade_dancing_primary	Les elfes des Chapelles Thaluiennes esquivent les lames ennemies, augmentant leur Défense en mêlée de %+n.	false
effects_description_idrinth_unusual_training_primary	Les elfes des Chapelles Thaluiennes augmentent leur Commandement de %+n.	false
effects_description_idrinth_running_wild_primary	Les elfes des Chapelles Thaluiennes augmentent leur Vitesse de déplacement de %+n%.	false
effects_description_idrinth_veterans_primary	Les elfes vétérans des Chapelles Thaluiennes frappent %+n% plus fort en mêlée.	false
effects_description_idrinth_strong_as_stone_primary	Les unités animées des Chapelles Thaluiennes résistent à %+n% de dégâts supplémentaires.	false
effects_description_idrinth_beasts_of_nature_primary	Les bêtes des Chapelles Thaluiennes sont plus féroces, augmentant leur Attaque en mêlée de %+n.	false
effects_description_idrinth_ranger_knowledge_secondary	Les elfes des Chapelles Thaluiennes augmentent leur vitesse de rechargement de %+n%.	false
effects_description_idrinth_blade_dancing_secondary	Les elfes des Chapelles Thaluiennes esquivent les lames ennemies, augmentant leur Attaque en mêlée de %+n.	false
effects_description_idrinth_unusual_training_secondary	Les elfes des Chapelles Thaluiennes ont appris à porter leur armure plus efficacement, augmentant leur valeur d'armure de %+n.	false
effects_description_idrinth_running_wild_secondary	Les elfes des Chapelles Thaluiennes courent librement, augmentant leur charge de %+n.	false
effects_description_idrinth_veterans_secondary	Les elfes vétérans des Chapelles Thaluiennes se fatiguent %+n% plus lentement.	false
effects_description_idrinth_strong_as_stone_secondary	Les constructions des Chapelles Thaluiennes augmentent leur charge de %+n.	false
effects_description_idrinth_beasts_of_nature_secondary	Les bêtes des Chapelles Thaluiennes sont plus motivées, augmentant leur Vitesse de déplacement de %+n%.	false
effects_description_idrinth_veterans_tertiary	Les elfes vétérans des Chapelles Thaluiennes ont déjà fait face à la peur et au danger, augmentant leur Commandement de %+n.	false
effects_description_idrinth_unit_capacity_chapel_mixed_elven_guard	%+n limite d'unités pour la Garde Elfique Mixte.	false
