key	text	tooltip
#Loc;1;text/.cz/idrinth_building_chains__.cz.loc		
building_chains_chain_tooltip_idrinth_hev_high_elf_vampires_chapel	Elfí komunitní kaple	false
building_chains_encyclopedia_description_idrinth_hev_high_elf_vampires_chapel	Kaple pro malou komunitu elfích vyhnanců, dobrodruhů a tuláků.	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_chapel	Elfí komunitní kaple	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_beasts	Elfí veterinární péče	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_diplomacy	Elfí vyslanectví	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_altar	Elfí řemeslníci	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde	Elfí tábor	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_healer_wagon	Elfí léčitelé	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_quartermaster	Elfí intendant	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_trader	Elfí obchodník	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters	Řemeslnická čtvrť	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern	Elfí hospoda	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_library	Elfí knihovna	false
