key	text	tooltip
#Loc;1;text/db/!!idrinth_ancillaries__.loc		
ancillaries_colour_text_idrinth_anc_talisman_stone_of_dried_blood	Ein Talisman, gesegnet von Khaine, dem bluthändigen Gott. Nur wenige erlangten genug Gunst, um solch ein Werkzeug in seinem Namen zu führen. Das getrocknete Blut pulsiert mit uralter Macht und flüstert seinem Träger Versprechungen von Gewalt zu.	false
ancillaries_explanation_text_idrinth_anc_talisman_stone_of_dried_blood	Bewiesene Kampferfahrung.	false
ancillaries_onscreen_name_idrinth_anc_talisman_stone_of_dried_blood	Talisman des getrockneten Blutes	false
ancillaries_colour_text_idrinth_anc_talisman_talisman_of_souls	Ein Talisman, gesegnet von Asuryan, auf dass das Wissen vergangener Generationen lebendig bleibe. In der Stille vermagst du das Flüstern uralter elfischer Weiser zu vernehmen, die Weisheit aus dem Jenseits darbieten.	false
ancillaries_explanation_text_idrinth_anc_talisman_talisman_of_souls	Bewiesene Kampferfahrung.	false
ancillaries_onscreen_name_idrinth_anc_talisman_talisman_of_souls	Talisman der Seelen	false
ancillaries_colour_text_idrinth_anc_talisman_forest_berry_wine	Ein Talisman sonderlicher Art, gesegnet von Kurnous, der seinem Eigner den köstlichsten Beerenwein der ganzen Welt beschert. Ein Schluck verbindet den Trinkenden mit der Wildnis, schärft die Sinne und beschleunigt die Reflexe, als führe der Wald selbst jede Bewegung.	false
ancillaries_explanation_text_idrinth_anc_talisman_forest_berry_wine	Bewiesene Kampferfahrung.	false
ancillaries_onscreen_name_idrinth_anc_talisman_forest_berry_wine	Waldbeerenwein	false
ancillaries_colour_text_idrinth_anc_weapon_kurnous_blessed_hunting_bow	Eine Waffe, gesegnet von Kurnous, die ihren Träger zu einem der vortrefflichsten Jäger macht, den die Welt je gesehen hat. Jene, die von seinen Pfeilen gezeichnet werden, verspüren urtümliche Furcht, als würden sie von der Natur selbst gejagt, nicht bloß von einem Bogenschützen.	false
ancillaries_explanation_text_idrinth_anc_weapon_kurnous_blessed_hunting_bow	Bewiesene Kampferfahrung.	false
ancillaries_onscreen_name_idrinth_anc_weapon_kurnous_blessed_hunting_bow	Gesegneter Jagdbogen	false
ancillaries_colour_text_idrinth_anc_armour_khaines_visage	Dieser Helm offenbart eine Maske, die eine Mischung aus Schrecken, Blutdurst und reiner Gier nach Gewalt darstellt. Diese Visage verwandelt seinen Träger und erweckt eine urtümliche Wut, die Feinde schon aus der Ferne spüren können.	false
ancillaries_explanation_text_idrinth_anc_armour_khaines_visage	Bewiesene Kampferfahrung.	false
ancillaries_onscreen_name_idrinth_anc_armour_khaines_visage	Khaines Visage	false
ancillaries_colour_text_idrinth_anc_weapon_khaines_thirsting_sword	Ein Schwert, das ebenso nach Blut dürstet wie sein Meister. Mit jedem Hieb hungert es nach mehr und wird stärker mit jedem Leben, das es fordert. Die Klinge stumpft nimmer, solange sie mit frischem Blut benetzt ist.	false
ancillaries_explanation_text_idrinth_anc_weapon_khaines_thirsting_sword	Bewiesene Kampferfahrung.	false
ancillaries_onscreen_name_idrinth_anc_weapon_khaines_thirsting_sword	Khaines durstendes Schwert	false
ancillaries_colour_text_idrinth_anc_weapon_asuryans_perfection_sword	Ein Schwert, so vollkommen wie sein Träger zu sein wünscht. Geschmiedet in der ewigen Flamme Asuryans selbst, bringt dieses hoch elfische Schwert Harmonie in den Kampf und erlaubt seinem Meister, mit unvergleichlicher Präzision und Ausdauer zu fechten.	false
ancillaries_explanation_text_idrinth_anc_weapon_asuryans_perfection_sword	Bewiesene Kampferfahrung.	false
ancillaries_onscreen_name_idrinth_anc_weapon_asuryans_perfection_sword	Asuryans Schwert der Vollkommenheit	false
ancillaries_colour_text_idrinth_anc_armour_kurnous_forest_cloak	Eine Rüstung nach Kurnous' Entwurf, leicht und kaum wahrnehmbar. Dieser dunkelgrüne Umhang trägt die Essenz des tiefen Waldes in sich, verbirgt seinen Träger vor feindlichen Augen und schärft zugleich das Bewusstsein für seine Umgebung.	false
ancillaries_explanation_text_idrinth_anc_armour_kurnous_forest_cloak	Bewiesene Kampferfahrung.	false
ancillaries_onscreen_name_idrinth_anc_armour_kurnous_forest_cloak	Kurnous Waldumhang	false
ancillaries_colour_text_idrinth_anc_armour_asuryans_destiny	Diese Rüstung beschützt ihren Träger, solang er dem Elfenvolk dient, und verlängert sein Leben weit über jede Erwartung hinaus. Die in jede Platte eingewobenen Verzauberungen weisen die Korruption des Untodes zurück und erlauben dem Träger, in beiden Welten zu wandeln.	false
ancillaries_explanation_text_idrinth_anc_armour_asuryans_destiny	Bewiesene Kampferfahrung.	false
ancillaries_onscreen_name_idrinth_anc_armour_asuryans_destiny	Asuryans Schicksalsrüstung	false
