key	text	tooltip
#Loc;1;text/idrinth__zh.loc.tsvdb/idrinth__zh.loc		
effect_bundles_localised_description_idrinth_dilemma_empire_FIRST	這位學者對古代戰爭非常感興趣。與伊德林斯的討論引導她發現了現在也很有用的戰術。	false
effect_bundles_localised_description_idrinth_dilemma_empire_SECOND	這位學者和伊德林斯討論了魔法，為你的法師們找到了一些小改進。	false
effect_bundles_localised_description_idrinth_dilemma_empire_THIRD	你詢問這位學者關於伊德林斯的事，了解到他與混沌的漫長戰爭。	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_FIRST	你趕走了信使，讓伊德林斯的生活更輕鬆了。	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_SECOND	你質問伊德林斯關於他的過去，讓他的心情變得更加陰鬱。	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_THIRD	伊德林斯見了來自故土的信使，了解到他家族目前的目標。他現在心情看起來好多了。	false
effect_bundles_localised_description_idrinth_dilemma_kislev_FIRST	你把入侵者交給伊德林斯審問。	false
effect_bundles_localised_description_idrinth_dilemma_kislev_SECOND	你殺死了入侵者，激怒了祖國，但阻止了更糟的事情發生。	false
effect_bundles_localised_description_idrinth_dilemma_kislev_THIRD	入侵者加入了你們，讓伊德林斯深感不安。	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_FIRST	你指控伊德林斯謀殺並吸乾了僕人的血。他正試圖證明自己的清白。	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_SECOND	你詢問伊德林斯關於卷軸的事，了解到一些古老的魔法理論。	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_THIRD	你決定在別處搜尋兇手，你的部隊現在處於更高的警戒狀態。	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_FIRST	伊德林斯和遊俠相遇並因他對她村莊所做的事而發生衝突。	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_SECOND	你把伊德林斯藏起來直到遊俠離開。雖然他很感激，但這讓他的心情變得更加陰鬱。	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_THIRD	你質問伊德林斯關於遊俠的事，讓他思考自己的過去和現在。	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_FIRST	你詢問矮人關於精靈的事，讓你對伊德林斯更加懷疑。他反過來對試圖挖掘他過去的你感到不那麼自在了。	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_SECOND	你交換了關於吸血鬼戰爭的資訊，獲得了第一手資料。	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_THIRD	你把伊德林斯介紹給矮人。事情並沒有按你預想的那樣發展，他們試圖攻擊他變成的怪物。	false
effect_bundles_localised_title_idrinth_dilemma_empire_FIRST	討論過去的戰爭	false
effect_bundles_localised_title_idrinth_dilemma_empire_SECOND	討論魔法	false
effect_bundles_localised_title_idrinth_dilemma_empire_THIRD	詢問她關於伊德林斯的事	false
effect_bundles_localised_title_idrinth_dilemma_high_elves_FIRST	趕走信使	false
effect_bundles_localised_title_idrinth_dilemma_high_elves_SECOND	質問伊德林斯	false
effect_bundles_localised_title_idrinth_dilemma_high_elves_THIRD	會見信使	false
effect_bundles_localised_title_idrinth_dilemma_kislev_FIRST	把入侵者交給伊德林斯	false
effect_bundles_localised_title_idrinth_dilemma_kislev_SECOND	殺死入侵者	false
effect_bundles_localised_title_idrinth_dilemma_kislev_THIRD	讓入侵者加入	false
effect_bundles_localised_title_idrinth_dilemma_vampire_counts_FIRST	指控伊德林斯	false
effect_bundles_localised_title_idrinth_dilemma_vampire_counts_SECOND	詢問卷軸	false
effect_bundles_localised_title_idrinth_dilemma_vampire_counts_THIRD	在別處搜尋兇手	false
effect_bundles_localised_title_idrinth_dilemma_wood_elves_FIRST	與遊俠相遇	false
effect_bundles_localised_title_idrinth_dilemma_wood_elves_SECOND	藏起伊德林斯	false
effect_bundles_localised_title_idrinth_dilemma_wood_elves_THIRD	質問伊德林斯	false
effect_bundles_localised_title_idrinth_dilemma_dwarves_FIRST	詢問矮人關於精靈的事	false
effect_bundles_localised_title_idrinth_dilemma_dwarves_SECOND	與伊德林斯討論吸血鬼戰爭	false
effect_bundles_localised_title_idrinth_dilemma_dwarves_THIRD	把伊德林斯介紹給矮人	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_asuryan_large	阿蘇瑞安的至高庇護	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_kurnous_large	庫爾諾斯的神聖指引	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_khaine_large	凱恩的血潮	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_asuryan_medium	阿蘇瑞安的庇護	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_kurnous_medium	庫爾諾斯的指引	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_khaine_medium	凱恩的血祭	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_asuryan_small	阿蘇瑞安的微小庇護	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_kurnous_small	庫爾諾斯的細微指引	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_khaine_small	凱恩的血滴	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_asuryan_large	你的戰士們不僅擅長閃避攻擊，他們的傷口癒合速度也比平常快得多。	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_kurnous_large	作為天生的獵人，你的戰士們在狩獵食物和敵人時行動迅速且隱秘。	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_khaine_large	你的部隊和新志願者體驗到戰鬥的興奮，使他們對敵人更加危險。	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_asuryan_medium	你的戰士們突然擅長於閃避攻擊和躲過打擊。	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_kurnous_medium	你的戰士們在狩獵食物和敵人時天生具有隱秘能力。	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_khaine_medium	你的戰士們感受到內心對戰鬥的渴望，使老兵和新兵都對敵人更加危險。	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_asuryan_small	你的戰士們在閃避攻擊和魔法時有些許運氣，儘管不足以完全依賴。	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_kurnous_small	少量的指引和狩獵時的運氣有利於你的部隊。	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_khaine_small	凱恩拳頭上的一滴血帶來更多志願者加入你的部隊。	false
effect_bundles_localised_description_idrinth_dilemma_god_favour_asuryan_large_cost		false
effect_bundles_localised_description_idrinth_dilemma_god_favour_kurnous_large_cost		false
effect_bundles_localised_description_idrinth_dilemma_god_favour_khaine_large_cost		false
effect_bundles_localised_description_idrinth_dilemma_god_favour_asuryan_medium_cost		false
effect_bundles_localised_description_idrinth_dilemma_god_favour_kurnous_medium_cost		false
effect_bundles_localised_description_idrinth_dilemma_god_favour_khaine_medium_cost		false
effect_bundles_localised_description_idrinth_dilemma_god_favour_asuryan_small_cost		false
effect_bundles_localised_description_idrinth_dilemma_god_favour_kurnous_small_cost		false
effect_bundles_localised_description_idrinth_dilemma_god_favour_khaine_small_cost		false
effect_bundles_localised_title_idrinth_dilemma_god_favour_asuryan_large_cost	花費：阿蘇瑞安的至高庇護	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_kurnous_large_cost	花費：庫爾諾斯的神聖指引	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_khaine_large_cost	花費：凱恩的血潮	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_asuryan_medium_cost	花費：阿蘇瑞安的庇護	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_kurnous_medium_cost	花費：庫爾諾斯的指引	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_khaine_medium_cost	花費：凱恩的血祭	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_asuryan_small_cost	花費：阿蘇瑞安的微小庇護	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_kurnous_small_cost	花費：庫爾諾斯的細微指引	false
effect_bundles_localised_title_idrinth_dilemma_god_favour_khaine_small_cost	花費：凱恩的血滴	false
effect_bundles_localised_description_idrinth_vampiric_priests	伊德林斯把他的祭司們變成了吸血鬼。願他們的犧牲拯救我們。	false
effect_bundles_localised_title_idrinth_vampiric_priests	吸血鬼祭司	false
effect_bundles_localised_title_idrinth_successful_action_army	受激勵的密探	false
effect_bundles_localised_title_idrinth_successful_action_army_critical	受激勵的密探	false
effect_bundles_localised_title_idrinth_successful_action_character	受激勵的密探	false
effect_bundles_localised_title_idrinth_successful_action_character_critical	受激勵的密探	false
effect_bundles_localised_title_idrinth_hev_high_elf_vampires_bundle_stance_army_ambush	姿態：精湛伏擊	false
effect_bundles_localised_title_idrinth_hev_high_elf_vampires_bundle_stance_army_channelling	姿態：引導	false
effect_bundles_localised_title_idrinth_hev_vampires_bundle_stance_army_default	姿態：無	false
effect_bundles_localised_title_idrinth_hev_high_elf_vampires_bundle_stance_army_raiding	姿態：劫掠	false
effect_bundles_localised_title_idrinth_hev_vampires_bundle_stance_army_forced_march	姿態：行軍	false
effect_bundles_localised_title_idrinth_hev_high_elf_vampires_bundle_stance_army_settlement	姿態：紮營	false
effect_bundles_localised_title_idrinth_hev_high_elf_vampires_bundle_stance_army_tunnelling	姿態：使用世界之根	false
effect_bundles_localised_title_idrinth_hev_high_elf_vampires_bundle_stance_navy_blockading	姿態：海上劫掠	false
effect_bundles_localised_title_idrinth_hev_vampires_bundle_stance_army_garrisoned	狀態：駐守	false
effect_bundles_localised_title_idrinth_hev_high_elf_vampires_bundle_stance_siege	狀態：圍城	false
effect_bundles_localised_title_idrinth_hev_high_elf_vampires_bundle_stance_patrol	姿態：巡邏	false
effect_bundles_localised_title_idrinth_asuryan_god_favour_cave_bats	阿蘇瑞安祝福	false
effect_bundles_localised_description_idrinth_asuryan_god_favour_cave_bats	阿蘇瑞安祝福洞穴蝙蝠使其存活更長時間。	false
effect_bundles_localised_title_idrinth_kurnous_god_favour_cave_bats	庫爾諾斯的祝福	false
effect_bundles_localised_description_idrinth_kurnous_god_favour_cave_bats	庫爾諾斯祝福洞穴蝙蝠使其狩獵更加出色。	false
effect_bundles_localised_title_idrinth_khaine_god_favour_cave_bats	凱恩祝福	false
effect_bundles_localised_description_idrinth_khaine_god_favour_cave_bats	凱恩祝福洞穴蝙蝠使其屠殺敵人。	false
effect_bundles_localised_title_idrinth_asuryan_god_favour_wolves	阿蘇瑞安祝福	false
effect_bundles_localised_description_idrinth_asuryan_god_favour_wolves	阿蘇瑞安祝福狼群使其存活更長時間。	false
effect_bundles_localised_title_idrinth_kurnous_god_favour_wolves	庫爾諾斯的祝福	false
effect_bundles_localised_description_idrinth_kurnous_god_favour_wolves	庫爾諾斯祝福狼群使其狩獵更加出色。	false
effect_bundles_localised_title_idrinth_khaine_god_favour_wolves	凱恩祝福	false
effect_bundles_localised_description_idrinth_khaine_god_favour_wolves	凱恩祝福狼群使其屠殺敵人。	false
effect_bundles_localised_title_idrinth_asuryan_god_favour_hawks	阿蘇瑞安祝福	false
effect_bundles_localised_description_idrinth_asuryan_god_favour_hawks	阿蘇瑞安祝福獵鷹使其存活更長時間。	false
effect_bundles_localised_title_idrinth_kurnous_god_favour_hawks	庫爾諾斯的祝福	false
effect_bundles_localised_description_idrinth_kurnous_god_favour_hawks	庫爾諾斯祝福獵鷹使其狩獵更加出色。	false
effect_bundles_localised_title_idrinth_khaine_god_favour_hawks	凱恩祝福	false
