key	text	tooltip
#Loc;1;text/idrinth_missions__.es.loc.tsv/idrinth_missions__.es.loc		
missions_localised_description_idrinth_unlock_wh2_main_hef_high_elves	Hay rumores de que puedes captar la atención de una poderosa ayuda si luchas contra las fuerzas del caos. Se dice que un extraño está dispuesto a luchar a tu lado si puedes demostrar tu voluntad de luchar y sangrar...	false
missions_localised_title_idrinth_unlock_wh2_main_hef_high_elves	Un Extraño Contra el Caos	false
missions_localised_title_idrinth_unlock_wh_main_vmp_vampire_counts	Un Extraño Contra el Caos	false
missions_localised_title_idrinth_unlock_wh_main_emp_empire	Un Extraño Contra el Caos	false
missions_localised_title_idrinth_unlock_wh_dlc05_wef_wood_elves	Un Extraño Contra el Caos	false
missions_localised_title_idrinth_unlock_wh3_main_ksl_kislev	Un Extraño Contra el Caos	false
missions_localised_description_idrinth_unlock_wh_main_vmp_vampire_counts	Hay rumores de que puedes captar la atención de una poderosa ayuda si luchas contra las fuerzas del caos. Se dice que un extraño está dispuesto a luchar a tu lado si puedes demostrar tu voluntad de luchar y sangrar...	false
missions_localised_description_idrinth_unlock_wh_main_emp_empire	Hay rumores de que puedes captar la atención de una poderosa ayuda si luchas contra las fuerzas del caos. Se dice que un extraño está dispuesto a luchar a tu lado si puedes demostrar tu voluntad de luchar y sangrar...	false
missions_localised_description_idrinth_unlock_wh_dlc05_wef_wood_elves	Hay rumores de que puedes captar la atención de una poderosa ayuda si luchas contra las fuerzas del caos. Se dice que un extraño está dispuesto a luchar a tu lado si puedes demostrar tu voluntad de luchar y sangrar...	false
missions_localised_description_idrinth_unlock_wh3_main_ksl_kislev	Hay rumores de que puedes captar la atención de una poderosa ayuda si luchas contra las fuerzas del caos. Se dice que un extraño está dispuesto a luchar a tu lado si puedes demostrar tu voluntad de luchar y sangrar...	false
missions_localised_mission_completed_text_idrinth_unlock_wh2_main_hef_high_elves	Después de aceptar tu moneda, el extraño se presenta como un compañero asur llamado Idrinth. Al quitarse sus ropas de viaje ves la armadura gastada por la batalla de un maestro del saber, un espadón a juego y un arco de metal cerca de ojos estoicos que insinúan brutalidades aún por cometer.	false
missions_localised_mission_completed_text_idrinth_unlock_wh_main_vmp_vampire_counts	El extraño baja su capucha, revelando rasgos élficos. No soy amigo de la destrucción, pero nuestros enemigos forzaron mi mano. Guardando sus monedas declara: Volver a la familia después de muchos años cuando están en peligro es lo correcto, sin importar quién sea esa familia. ¿No estás de acuerdo?	false
